order_id,product_id,customer_id,return_date,reason,status,refunded_amount
ORD033,PROD018,CUST096,2024-02-22,Not Satisfied,Completed,256.46
ORD044,PROD082,CUST021,2025-01-11,Wrong Item,Completed,448.77
ORD047,PROD089,CUST057,2024-05-20,Defective,Approved,360.42
ORD041,PROD043,CUST029,2025-07-22,Not Satisfied,Completed,356.52
ORD054,PROD027,CUST084,2024-07-04,Wrong Item,Pending,217.17
ORD018,PROD063,CUST003,2025-06-18,Defective,Pending,362.3
ORD053,PROD064,CUST058,2025-06-21,Wrong Item,Pending,26.89
ORD029,PROD059,CUST030,2024-05-06,Size Issue,Completed,349.25
ORD001,PROD009,CUST036,2024-12-24,Size Issue,Completed,352.27
ORD012,PROD065,CUST092,2025-06-28,Wrong Item,Approved,416.95
ORD020,PROD028,CUST095,2025-08-29,Wrong Item,Completed,273.42
ORD010,PROD063,CUST066,2025-03-28,Not Satisfied,Pending,74.38
ORD082,PROD022,CUST084,2024-02-08,Size Issue,Approved,100.5
ORD081,PROD023,CUST021,2025-09-03,Size Issue,Approved,407.38
ORD071,PROD001,CUST058,2025-04-01,Size Issue,Approved,29.25
ORD091,PROD020,CUST086,2024-06-02,Not Satisfied,Completed,212.25
ORD058,PROD088,CUST099,2025-04-06,Wrong Item,Completed,429.67
ORD056,PROD075,CUST009,2024-01-28,Defective,Approved,111.89
ORD080,PROD063,CUST079,2024-09-14,Not Satisfied,Completed,246.37
ORD094,PROD017,CUST055,2024-07-21,Size Issue,Completed,393.99
ORD099,PROD014,CUST058,2024-09-02,Wrong Item,Completed,337.84
ORD022,PROD043,CUST061,2025-03-18,Size Issue,Approved,25.29
ORD095,PROD023,CUST036,2024-07-15,Defective,Completed,469.63
