margin_id,product_id,order_id,revenue,cogs,profit_margin,margin_date
51,255,51,613.65,1890.94,40.98,2025-07-23
52,266,52,4445.1,1999.55,14.96,2025-07-01
53,7,53,2231.88,1147.18,19.9,2025-07-28
54,33,54,4117.97,2177.32,27.54,2025-04-21
55,133,55,1487.52,1286.53,45.54,2025-07-15
56,200,56,2037.95,1848.66,11.65,2025-09-20
57,272,57,2525.87,448.92,33.66,2025-06-29
58,171,58,1122.13,496.81,28.27,2025-10-07
59,32,59,4621.47,2230.87,57.07,2025-10-04
60,212,60,2896.51,2891.04,36.2,2025-08-14
61,46,61,3818.96,1429.73,41.3,2025-09-28
62,188,62,4889.89,414.96,37.76,2025-04-18
63,225,63,583.24,2819.54,33.85,2025-07-27
64,109,64,1790.26,927.86,52.85,2025-04-18
65,163,65,3379.19,284.78,25.49,2025-06-13
66,2,66,3921.29,534.4,49.48,2025-08-10
67,156,67,1761.48,834.77,9.43,2025-09-20
68,166,68,1426.75,1767.28,10.27,2025-04-13
69,121,69,3153.7,2167.34,27.95,2025-07-22
70,161,70,700.22,2832.16,38.9,2025-07-11
71,173,71,1655.13,297.08,5.54,2025-09-01
72,76,72,3951.86,1144.98,53.53,2025-05-14
73,246,73,2595.5,488.71,58.69,2025-05-04
74,61,74,2374.02,304.23,10.0,2025-06-05
75,213,75,4102.67,1671.09,11.9,2025-10-08
76,245,76,3357.96,608.88,50.99,2025-09-04
77,293,77,4066.81,2836.37,23.23,2025-06-17
78,161,78,3512.29,2245.95,58.45,2025-09-02
79,57,79,4570.34,1751.93,17.87,2025-07-06
80,128,80,2783.62,331.03,42.21,2025-08-10
81,103,81,2400.72,1347.28,18.4,2025-08-20
82,60,82,3928.88,2029.81,20.97,2025-09-05
83,256,83,1206.36,2379.12,58.01,2025-09-22
84,289,84,3528.73,743.43,29.34,2025-09-16
85,228,85,3531.82,2902.29,38.64,2025-08-24
86,36,86,4721.69,1241.95,40.22,2025-07-20
87,279,87,3546.55,259.97,56.87,2025-07-19
88,174,88,4568.71,2098.57,9.22,2025-08-19
89,158,89,4335.81,1241.64,18.15,2025-09-08
90,230,90,1032.85,1746.84,52.3,2025-08-21
91,95,91,2830.11,961.05,22.79,2025-06-04
92,208,92,2635.78,1011.59,5.84,2025-08-08
93,210,93,2278.13,1166.92,48.96,2025-05-31
94,265,94,2819.54,373.29,15.36,2025-05-28
95,8,95,2398.42,2656.58,13.29,2025-05-19
96,149,96,4378.21,968.63,15.31,2025-08-15
97,149,97,1711.01,1373.92,42.52,2025-09-08
98,243,98,1390.51,1688.61,31.28,2025-05-06
99,230,99,4642.36,977.82,27.21,2025-06-11
100,61,100,2696.1,1721.42,38.64,2025-04-25
101,191,101,2697.04,869.01,37.23,2025-07-07
102,83,102,2725.02,1838.31,22.51,2025-04-22
103,210,103,4547.93,2498.36,10.98,2025-06-16
104,14,104,4022.11,2975.36,22.63,2025-07-15
105,122,105,2064.94,607.34,14.75,2025-05-27
106,236,106,4184.17,292.5,45.92,2025-08-27
107,231,107,3758.13,1895.29,38.07,2025-09-07
108,273,108,3596.57,1486.61,32.31,2025-09-15
109,156,109,4843.39,1743.38,12.99,2025-10-06
110,271,110,1517.46,1983.22,53.71,2025-08-08
111,295,111,3132.19,292.95,14.89,2025-05-23
112,47,112,2585.83,85.1,8.6,2025-07-01
113,152,113,578.72,1448.81,9.22,2025-06-23
114,229,114,3779.07,1177.11,29.8,2025-08-01
115,200,115,2703.81,929.69,51.56,2025-06-29
116,150,116,3379.99,1653.64,51.53,2025-07-10
117,24,117,1235.22,1386.24,51.39,2025-05-24
118,122,118,1098.13,1243.22,14.47,2025-06-14
119,42,119,1124.74,2105.59,47.61,2025-08-19
120,205,120,716.4,2802.28,49.13,2025-07-01
121,66,121,3076.41,1978.92,19.12,2025-08-26
122,233,122,4312.22,2297.69,18.59,2025-08-20
123,96,123,1858.14,2964.68,13.51,2025-07-28
124,19,124,1014.63,1465.19,53.49,2025-09-05
125,145,125,4255.7,673.8,55.33,2025-09-17
126,69,126,718.35,305.14,14.72,2025-08-09
127,74,127,3856.38,216.23,51.21,2025-04-15
128,68,128,4518.6,1953.49,40.72,2025-06-15
129,279,129,1984.84,1087.27,19.53,2025-07-08
130,170,130,1656.71,1510.47,52.95,2025-09-21
131,94,131,1212.38,2284.11,44.72,2025-04-20
132,60,132,906.35,2913.81,52.94,2025-04-20
133,53,133,3438.86,1587.87,28.06,2025-10-08
134,176,134,4998.59,619.9,33.4,2025-06-12
135,65,135,3350.77,2017.67,57.13,2025-10-05
136,75,136,1969.69,247.03,12.26,2025-09-27
137,17,137,2642.53,2477.29,9.85,2025-10-05
138,12,138,1273.28,2323.79,48.27,2025-06-06
139,252,139,4479.41,777.62,24.72,2025-06-14
140,232,140,2220.39,2110.93,23.11,2025-05-21
141,57,141,1381.31,579.27,30.57,2025-10-01
142,157,142,3475.71,1440.93,30.16,2025-07-19
143,74,143,876.02,2228.55,33.0,2025-08-09
144,190,144,1659.8,1315.73,29.56,2025-08-29
145,242,145,2549.65,2071.49,18.83,2025-06-18
146,292,146,2167.37,1120.95,7.05,2025-09-25
147,227,147,920.06,156.32,31.91,2025-05-05
148,35,148,2820.41,849.94,31.38,2025-08-26
149,116,149,1568.24,2583.31,22.87,2025-05-30
150,50,150,605.59,1980.2,53.75,2025-07-13
151,242,151,2364.2,172.29,7.32,2025-09-13
152,148,152,2274.29,2345.9,9.96,2025-05-09
153,80,153,3544.19,352.88,6.09,2025-05-03
154,156,154,2215.5,2186.91,56.99,2025-07-29
155,82,155,3938.39,1016.59,50.9,2025-04-18
156,149,156,1277.52,1151.98,33.46,2025-04-20
157,101,157,3369.18,2469.36,24.82,2025-06-20
158,268,158,796.36,1594.39,5.82,2025-09-18
159,208,159,2116.09,2114.88,44.91,2025-08-08
160,162,160,1987.21,1761.99,40.58,2025-05-22
161,247,161,4948.94,1525.84,58.91,2025-06-16
162,136,162,525.13,1060.99,55.21,2025-09-19
163,171,163,1680.26,1693.39,33.19,2025-07-06
164,168,164,877.18,984.28,55.46,2025-06-26
165,71,165,1568.86,731.62,26.68,2025-07-29
166,48,166,886.54,907.8,10.96,2025-05-18
167,34,167,3714.15,346.03,46.1,2025-06-02
168,113,168,2644.4,1346.61,14.99,2025-04-27
169,210,169,794.5,1539.69,44.17,2025-09-20
170,29,170,2540.61,1746.63,9.52,2025-06-03
171,22,171,4510.75,1756.97,12.97,2025-07-03
172,235,172,3086.84,1484.69,40.27,2025-08-03
173,107,173,4315.23,1823.12,52.25,2025-08-13
174,259,174,3195.92,1411.35,6.46,2025-06-02
175,147,175,690.54,778.28,21.81,2025-09-19
176,62,176,1111.82,534.11,28.84,2025-09-13
177,173,177,2512.24,788.48,22.71,2025-06-15
178,167,178,1761.51,592.97,33.48,2025-06-21
179,112,179,1445.86,433.46,35.29,2025-09-26
180,268,180,3492.27,2463.36,28.96,2025-05-14
181,4,181,4967.3,1390.65,10.27,2025-08-10
182,128,182,2595.5,70.23,11.2,2025-08-03
183,63,183,3465.57,571.19,22.43,2025-09-17
184,265,184,2857.61,2961.04,40.89,2025-08-21
185,185,185,4319.57,698.38,49.21,2025-07-09
186,215,186,3133.56,2049.61,35.06,2025-08-10
187,208,187,4776.6,2500.51,51.7,2025-08-18
188,188,188,4909.54,763.04,50.24,2025-04-17
189,194,189,4082.5,953.23,58.12,2025-09-03
190,192,190,1292.89,2820.64,57.59,2025-07-15
191,130,191,3350.61,913.54,29.74,2025-09-04
192,145,192,2778.0,2287.69,9.57,2025-10-07
193,151,193,610.93,329.75,27.72,2025-06-25
194,102,194,1704.76,2389.29,56.49,2025-10-02
195,119,195,592.69,1485.73,47.03,2025-06-13
196,156,196,2575.01,1362.56,22.03,2025-06-05
197,119,197,2836.02,1218.46,34.13,2025-09-29
198,197,198,4540.23,1963.56,42.04,2025-06-21
199,210,199,3643.7,977.88,47.46,2025-05-30
200,176,200,2597.78,592.88,53.96,2025-07-26
201,294,201,4160.38,1448.71,25.13,2025-04-14
202,179,202,3153.87,1893.63,20.55,2025-04-25
203,296,203,3187.61,2821.38,12.1,2025-06-21
204,69,204,1386.63,2084.7,15.62,2025-08-27
205,258,205,4943.63,975.75,22.23,2025-08-04
206,112,206,2134.16,2160.28,35.9,2025-07-01
207,204,207,3666.97,1282.26,53.85,2025-07-17
208,10,208,4756.3,1195.97,22.8,2025-06-27
209,48,209,3766.59,1817.38,56.5,2025-08-12
210,288,210,1531.53,692.63,6.91,2025-08-06
211,196,211,3735.17,331.71,7.38,2025-09-12
212,291,212,3706.4,192.35,25.22,2025-06-26
213,217,213,1593.52,2064.05,58.61,2025-05-27
214,191,214,1591.97,977.66,41.94,2025-10-07
215,135,215,4051.23,1983.83,32.93,2025-06-19
216,84,216,4819.89,2400.7,54.23,2025-04-13
217,267,217,4323.45,1470.17,23.65,2025-09-21
218,9,218,1307.59,1929.43,19.1,2025-05-06
219,260,219,3906.0,2947.55,33.95,2025-06-21
220,6,220,3384.82,1888.51,38.18,2025-08-24
221,265,221,4659.92,1391.67,21.93,2025-09-24
222,103,222,3192.97,215.66,23.87,2025-09-19
223,93,223,4646.54,2766.01,56.64,2025-05-05
224,283,224,2155.37,1310.93,23.69,2025-06-19
225,29,225,2378.77,64.6,37.77,2025-04-26
226,243,226,1857.99,2151.44,16.35,2025-06-04
227,180,227,2804.91,521.6,10.24,2025-08-02
228,237,228,2729.24,732.49,26.44,2025-07-21
229,33,229,1130.15,2026.86,19.2,2025-06-12
230,197,230,3799.77,282.9,5.48,2025-06-06
231,107,231,3612.84,895.23,54.12,2025-07-29
232,281,232,541.88,1609.25,8.27,2025-08-24
233,180,233,4055.25,918.76,17.45,2025-08-23
234,173,234,1481.01,349.01,51.2,2025-07-21
235,136,235,2815.94,992.77,44.72,2025-07-02
236,57,236,2997.55,2014.87,58.31,2025-09-13
237,259,237,3088.56,789.24,46.66,2025-07-06
238,117,238,926.92,2182.45,7.38,2025-07-06
239,1,239,2674.95,760.05,34.59,2025-05-19
240,108,240,3379.13,2015.83,45.15,2025-06-17
241,297,241,2659.26,2015.5,59.25,2025-10-01
242,174,242,538.19,895.91,8.14,2025-04-29
243,260,243,2163.21,351.83,33.46,2025-09-10
244,75,244,2292.32,730.58,52.46,2025-08-27
245,37,245,3400.86,1936.85,34.91,2025-07-19
246,167,246,2563.69,2981.93,34.54,2025-09-16
247,228,247,3728.65,1339.63,31.97,2025-04-30
248,267,248,3934.5,2863.1,37.51,2025-07-02
249,194,249,1380.52,2938.31,46.08,2025-04-10
250,106,250,836.45,2435.69,41.63,2025-09-13
251,274,251,2426.25,1516.63,51.64,2025-05-04
252,251,252,3920.21,1876.23,48.98,2025-09-15
253,137,253,1916.14,1937.12,48.16,2025-04-17
254,208,254,2513.05,1943.16,17.83,2025-05-30
255,189,255,1428.17,325.07,43.26,2025-05-22
256,162,256,2962.39,319.82,11.2,2025-04-10
257,282,257,1623.76,1443.39,25.74,2025-07-23
258,286,258,2397.46,2507.96,19.59,2025-08-03
259,142,259,2380.59,1454.97,40.46,2025-04-21
260,92,260,736.71,2307.54,44.59,2025-07-11
261,144,261,838.46,783.8,47.57,2025-06-20
262,273,262,3114.76,1824.52,31.68,2025-08-19
263,142,263,1738.79,1276.6,56.66,2025-04-20
264,265,264,716.36,1269.35,31.96,2025-05-14
265,14,265,4806.25,313.34,24.41,2025-06-23
266,238,266,2107.4,2530.55,58.06,2025-06-09
267,240,267,4112.11,688.03,33.97,2025-04-28
268,109,268,1842.79,2523.54,37.95,2025-09-14
269,215,269,3061.46,461.52,13.37,2025-06-08
270,222,270,2176.56,2043.86,35.72,2025-05-26
271,290,271,4134.25,674.24,38.18,2025-07-07
272,164,272,2695.94,1030.0,57.22,2025-05-18
273,175,273,4547.87,345.21,21.19,2025-06-04
274,7,274,3676.71,972.18,29.09,2025-08-31
275,100,275,4291.27,888.99,42.48,2025-06-16
276,32,276,4295.38,2995.43,34.97,2025-08-02
277,252,277,1443.63,349.79,42.95,2025-08-13
278,246,278,4943.37,2673.69,55.2,2025-09-01
279,79,279,2414.91,1942.36,7.49,2025-06-10
280,122,280,2965.14,2165.22,50.07,2025-06-06
281,29,281,1554.48,510.63,33.59,2025-05-02
282,206,282,1847.62,1506.98,19.28,2025-05-25
283,180,283,3169.81,2305.47,17.72,2025-08-27
284,15,284,2368.4,2372.52,41.28,2025-04-29
285,94,285,2351.75,1035.64,52.85,2025-08-11
286,228,286,2620.75,2454.26,59.07,2025-07-27
287,246,287,1958.5,981.34,32.99,2025-08-24
288,183,288,2710.31,2223.8,26.79,2025-05-17
289,91,289,3416.34,1826.93,12.68,2025-10-03
290,45,290,3665.81,1393.04,16.95,2025-09-25
291,139,291,4767.27,2145.09,7.94,2025-05-17
292,110,292,3042.85,2145.03,7.01,2025-08-26
293,104,293,3716.3,358.02,55.57,2025-05-07
294,284,294,3399.03,2393.15,6.69,2025-07-02
295,226,295,2411.12,1061.93,34.97,2025-04-13
296,245,296,2158.68,670.05,32.53,2025-09-29
297,111,297,3261.78,1778.83,39.97,2025-08-15
298,134,298,2565.94,2013.52,58.05,2025-06-14
299,5,299,1850.58,2506.35,5.39,2025-06-01
300,25,300,3849.38,2273.0,57.1,2025-04-28
301,130,301,4479.06,1014.92,41.69,2025-04-10
302,185,302,3712.77,2958.96,6.27,2025-07-27
303,11,303,1945.3,225.78,49.4,2025-06-07
304,113,304,3463.17,2280.87,34.15,2025-07-30
305,249,305,514.83,1114.26,44.83,2025-06-02
306,26,306,4007.21,2895.58,47.71,2025-09-06
307,7,307,3483.88,1272.16,41.22,2025-07-11
308,230,308,1064.88,1042.28,55.51,2025-08-06
309,190,309,1617.28,2524.15,28.03,2025-04-09
310,61,310,1934.93,107.34,30.2,2025-05-30
311,9,311,2071.66,969.85,22.58,2025-10-03
312,136,312,2478.69,349.64,38.36,2025-07-04
313,110,313,3002.78,2541.54,43.21,2025-07-29
314,300,314,4839.19,1756.08,15.36,2025-04-19
315,254,315,995.86,404.07,25.25,2025-05-21
316,139,316,882.06,1256.63,40.95,2025-05-07
317,61,317,774.14,657.9,25.11,2025-07-23
318,290,318,4176.04,792.35,44.73,2025-05-27
319,132,319,1207.29,2350.01,22.36,2025-09-06
320,76,320,3878.68,325.84,19.33,2025-06-24
321,25,321,4641.24,1780.03,48.91,2025-06-09
322,118,322,1162.42,2944.97,36.48,2025-05-31
323,253,323,2687.44,69.21,38.52,2025-06-20
324,122,324,4125.78,850.5,46.59,2025-08-17
325,145,325,2760.23,1815.65,54.05,2025-08-06
326,240,326,2100.08,2679.82,29.62,2025-09-17
327,1,327,3377.74,209.06,38.51,2025-06-17
328,210,328,2040.69,1388.23,51.33,2025-04-22
329,187,329,3873.34,1962.69,39.7,2025-07-18
330,254,330,1157.99,1779.97,46.06,2025-04-10
331,275,331,4558.14,2873.78,55.81,2025-07-10
332,234,332,3597.64,1199.87,24.29,2025-04-24
333,257,333,4617.25,2941.36,43.97,2025-05-10
334,260,334,925.92,2934.61,55.63,2025-09-13
335,19,335,2611.92,2762.68,54.79,2025-10-08
336,25,336,1678.3,1631.12,26.7,2025-06-25
337,238,337,1652.22,494.54,40.99,2025-09-07
338,239,338,2901.73,1529.13,27.17,2025-05-11
339,90,339,1428.23,1806.62,57.87,2025-09-14
340,286,340,1640.87,2867.85,8.82,2025-09-01
341,180,341,2541.71,2822.4,30.32,2025-07-03
342,265,342,1089.66,2511.08,22.53,2025-05-19
343,146,343,2422.25,1921.76,54.66,2025-09-05
344,251,344,4920.44,1716.71,28.94,2025-08-21
345,170,345,3926.6,868.96,16.5,2025-06-20
346,230,346,1288.54,99.36,44.22,2025-05-14
347,156,347,953.88,1157.01,52.57,2025-05-11
348,183,348,1871.18,2539.97,15.77,2025-07-18
349,228,349,805.65,324.44,15.72,2025-05-06
350,4,350,3952.51,1469.67,51.11,2025-06-28
351,42,351,4035.11,612.58,51.6,2025-10-03
352,250,352,3313.69,1445.8,5.3,2025-06-22
353,102,353,2858.03,1614.13,58.45,2025-06-12
354,219,354,3866.41,2840.07,26.89,2025-10-07
355,3,355,3920.88,1061.37,22.56,2025-08-30
356,55,356,4555.4,737.67,58.52,2025-06-14
357,244,357,1163.0,2310.58,10.41,2025-06-12
358,207,358,2745.8,2602.18,47.62,2025-04-09
359,2,359,4892.03,1855.87,43.32,2025-07-17
360,293,360,922.54,475.53,10.94,2025-09-30
361,205,361,2172.98,2973.79,17.15,2025-09-29
362,269,362,1918.42,792.12,31.75,2025-09-28
363,140,363,3875.22,400.9,33.9,2025-07-11
364,50,364,3100.06,2772.07,16.04,2025-05-26
365,160,365,3225.0,259.12,53.3,2025-05-23
366,289,366,655.43,1635.53,51.63,2025-08-10
367,21,367,2543.17,2954.61,24.15,2025-05-03
368,66,368,1998.68,1599.3,47.19,2025-07-16
369,50,369,4225.51,567.86,33.66,2025-04-24
370,113,370,4932.38,1402.19,32.09,2025-04-26
371,46,371,1667.12,2978.99,11.62,2025-06-27
372,141,372,4485.74,783.53,21.34,2025-05-01
373,10,373,1732.23,2214.65,11.55,2025-07-31
374,195,374,3229.13,1425.59,55.61,2025-07-06
375,290,375,3321.03,140.32,5.86,2025-04-14
376,87,376,2063.33,149.01,13.73,2025-08-16
377,199,377,4299.03,719.96,39.83,2025-08-05
378,258,378,3118.91,2940.3,15.37,2025-08-02
379,23,379,2035.6,638.86,29.73,2025-09-19
380,90,380,576.79,390.05,52.24,2025-08-03
381,165,381,2628.3,2439.08,7.21,2025-04-18
382,147,382,4750.53,923.16,47.14,2025-06-16
383,43,383,1366.39,2313.99,22.36,2025-08-22
384,207,384,1448.42,1871.99,31.67,2025-06-11
385,188,385,3083.97,849.76,19.03,2025-07-24
386,63,386,3058.03,273.01,19.04,2025-06-10
387,54,387,1972.88,2274.89,41.51,2025-07-28
388,295,388,2979.83,1775.84,54.98,2025-07-30
389,137,389,4465.23,827.71,9.48,2025-04-30
390,290,390,2816.99,436.78,53.88,2025-06-24
391,245,391,4262.08,322.46,8.74,2025-06-07
392,283,392,2763.94,2268.47,5.12,2025-09-27
393,237,393,1896.05,992.15,18.75,2025-08-17
394,297,394,1507.74,2879.48,16.21,2025-05-13
395,102,395,2567.81,741.99,27.82,2025-07-06
396,51,396,4211.14,2592.17,49.69,2025-08-29
397,144,397,4789.99,1215.48,19.78,2025-08-27
398,62,398,2120.67,629.18,22.84,2025-04-10
399,256,399,626.39,1133.85,34.59,2025-04-11
400,73,400,2795.2,1690.19,41.17,2025-05-16
401,51,401,1742.86,2853.06,16.5,2025-07-13
402,45,402,2340.95,848.23,6.44,2025-08-11
403,217,403,3130.51,1826.0,51.94,2025-04-25
404,31,404,4401.25,218.01,5.39,2025-09-08
405,222,405,3828.12,2695.8,8.08,2025-07-31
406,199,406,3476.86,891.03,20.31,2025-09-14
407,129,407,688.81,1946.25,32.54,2025-06-05
408,276,408,2145.19,2092.4,19.85,2025-10-01
409,218,409,651.28,2292.46,17.03,2025-05-26
410,114,410,2403.0,2940.39,26.25,2025-07-21
411,154,411,2704.35,196.12,22.86,2025-07-28
412,131,412,1371.6,712.32,16.97,2025-04-30
413,181,413,3554.81,2113.24,56.01,2025-08-04
414,135,414,1639.59,707.34,43.27,2025-04-17
415,290,415,2500.58,2815.27,50.82,2025-05-31
416,12,416,4371.59,2187.37,12.62,2025-08-11
417,183,417,1615.85,307.25,47.26,2025-08-03
418,44,418,2775.57,2759.47,25.29,2025-10-03
419,226,419,1591.35,2277.21,10.8,2025-08-26
420,71,420,910.79,1900.59,13.78,2025-04-10
421,261,421,2378.59,1895.01,57.92,2025-05-26
422,38,422,3352.88,976.99,8.24,2025-09-09
423,36,423,1786.27,2427.66,22.88,2025-09-14
424,48,424,1451.04,2035.23,27.1,2025-08-16
425,96,425,3862.96,2769.47,28.88,2025-04-12
426,78,426,4147.84,96.9,36.42,2025-08-16
427,60,427,4490.99,2737.86,38.18,2025-07-01
428,31,428,4943.84,2730.51,28.15,2025-07-17
429,8,429,4025.53,372.17,31.18,2025-07-21
430,171,430,935.94,468.05,18.52,2025-09-20
431,236,431,4871.52,1401.49,10.84,2025-04-25
432,27,432,4581.09,773.63,43.28,2025-09-21
433,117,433,724.51,1589.28,59.25,2025-07-28
434,291,434,3986.04,256.94,7.44,2025-07-15
435,253,435,4853.8,2948.13,44.15,2025-09-14
436,151,436,2766.44,2457.85,39.05,2025-06-23
437,135,437,4212.45,111.36,12.15,2025-07-03
438,290,438,1724.38,858.83,52.64,2025-05-27
439,188,439,4517.77,2697.01,56.56,2025-05-29
440,144,440,1542.74,500.23,45.39,2025-07-16
441,174,441,4015.6,2992.66,51.95,2025-09-11
442,298,442,930.27,1474.66,37.53,2025-10-08
443,137,443,4308.77,1966.29,42.82,2025-06-13
444,268,444,2318.8,1773.38,27.98,2025-08-12
445,59,445,3775.45,580.16,13.26,2025-06-30
446,203,446,3480.66,2250.31,49.13,2025-07-03
447,231,447,3290.0,867.91,48.97,2025-05-12
448,273,448,3650.01,1646.42,10.86,2025-04-22
449,108,449,4251.47,506.34,13.79,2025-05-13
450,181,450,1053.15,548.54,34.14,2025-08-19
451,121,451,3723.3,525.13,51.95,2025-08-11
452,280,452,4468.44,680.36,17.16,2025-05-07
453,230,453,2503.45,900.97,48.43,2025-09-04
454,265,454,782.64,2552.99,31.31,2025-08-12
455,49,455,1493.46,1090.45,46.19,2025-08-22
456,24,456,3483.23,2265.53,10.27,2025-04-15
457,83,457,1875.57,2754.99,55.95,2025-05-06
458,62,458,4434.45,412.24,39.99,2025-07-10
459,39,459,619.42,897.51,27.23,2025-05-14
460,167,460,1908.1,2419.75,6.66,2025-06-03
461,175,461,3902.0,2134.42,7.78,2025-06-26
462,33,462,1419.85,1929.38,50.8,2025-05-13
463,122,463,4421.44,610.54,18.22,2025-04-23
464,79,464,1928.51,949.78,39.28,2025-09-13
465,201,465,2516.04,861.88,17.75,2025-09-07
466,124,466,2566.83,655.36,59.51,2025-06-01
467,90,467,830.46,1836.01,29.75,2025-05-07
468,62,468,1154.45,2797.29,21.28,2025-04-10
469,121,469,3879.93,1334.13,51.52,2025-07-31
470,71,470,4561.32,2087.43,42.0,2025-09-23
471,62,471,1253.35,2320.97,26.64,2025-05-24
472,2,472,4585.63,1778.13,21.48,2025-08-12
473,40,473,2807.05,1541.23,40.87,2025-08-31
474,284,474,2566.73,1396.09,11.88,2025-05-04
475,236,475,4023.28,2113.15,36.32,2025-04-12
476,165,476,4180.63,2166.76,16.47,2025-05-03
477,188,477,4072.58,2933.18,58.14,2025-05-14
478,215,478,2523.2,1749.6,44.22,2025-08-05
479,114,479,1072.35,2666.96,16.52,2025-06-25
480,259,480,1649.22,936.64,15.97,2025-05-18
481,246,481,4495.56,1150.47,24.24,2025-08-14
482,290,482,1900.0,2278.34,9.63,2025-09-17
483,233,483,4793.62,2569.42,21.27,2025-08-04
484,105,484,4354.51,2961.79,31.63,2025-09-19
485,131,485,2605.94,2502.8,26.74,2025-09-23
486,27,486,1466.15,1004.51,34.26,2025-07-08
487,63,487,1850.42,1991.56,39.2,2025-06-21
488,63,488,4427.66,63.15,23.43,2025-09-21
489,150,489,1391.24,470.79,55.55,2025-07-22
490,91,490,1711.75,1002.28,50.77,2025-06-28
491,123,491,1177.99,734.33,33.57,2025-06-12
492,247,492,4204.94,2170.82,31.3,2025-05-29
493,213,493,1631.02,1487.09,28.67,2025-06-03
494,11,494,3780.8,2416.73,58.21,2025-09-26
495,2,495,2380.12,759.1,10.46,2025-09-04
496,69,496,1222.62,1220.36,51.12,2025-05-06
497,46,497,883.56,182.24,42.54,2025-09-15
498,212,498,3266.05,2436.48,14.18,2025-04-18
499,214,499,2226.63,2094.53,16.19,2025-07-07
500,89,500,1745.59,589.91,21.13,2025-08-01
501,191,501,4615.79,906.81,29.15,2025-05-30
502,216,502,843.45,2414.19,42.22,2025-05-14
503,164,503,2189.95,1150.87,8.52,2025-08-06
504,241,504,4945.41,933.12,20.35,2025-05-06
505,37,505,3688.31,2427.27,32.65,2025-07-20
506,15,506,1928.61,1767.93,6.22,2025-08-21
507,116,507,3828.33,2072.21,20.6,2025-06-03
508,177,508,4165.49,2196.47,11.86,2025-05-02
509,176,509,3284.3,1790.43,18.97,2025-08-25
510,13,510,3477.79,2741.65,18.65,2025-08-12
511,93,511,3414.23,500.1,35.7,2025-04-22
512,240,512,3787.66,1722.63,57.87,2025-06-28
513,93,513,4861.86,170.23,44.38,2025-04-30
514,106,514,2379.46,2438.95,55.88,2025-05-24
515,45,515,2700.65,2850.11,53.36,2025-04-25
516,7,516,4258.6,2318.39,58.25,2025-05-09
517,85,517,2376.74,2758.32,55.87,2025-07-31
518,212,518,1006.19,1416.14,6.0,2025-08-20
519,205,519,1059.0,172.45,9.7,2025-09-14
520,281,520,792.83,1499.0,8.55,2025-09-11
521,67,521,4957.41,788.09,29.33,2025-09-04
522,17,522,733.89,1388.9,58.63,2025-08-09
523,250,523,2620.81,108.3,49.41,2025-07-10
524,298,524,4945.13,1115.64,39.24,2025-10-05
525,202,525,1696.33,2653.68,31.21,2025-07-01
