shipping_id,order_id,shipping_cost,shipping_date,shipping_method
167,167,468.82,2025-07-28,Express
168,168,382.9,2025-05-09,Overnight
169,169,302.85,2025-04-28,Standard
170,170,439.53,2025-05-27,Express
171,171,367.8,2025-09-20,Express
172,172,201.04,2025-06-04,Overnight
173,173,321.03,2025-06-23,Express
174,174,144.09,2025-07-22,Standard
175,175,429.39,2025-08-10,Overnight
176,176,210.89,2025-09-09,Overnight
177,177,184.11,2025-09-30,Express
178,178,440.18,2025-07-23,Standard
179,179,477.36,2025-07-29,Express
180,180,129.32,2025-05-01,Express
181,181,319.55,2025-09-08,Overnight
182,182,476.19,2025-06-26,Standard
183,183,64.92,2025-05-07,Overnight
184,184,99.66,2025-06-23,Standard
185,185,23.28,2025-09-26,Standard
186,186,70.23,2025-08-06,Express
187,187,334.8,2025-08-21,Standard
188,188,379.2,2025-09-04,Overnight
189,189,97.52,2025-07-30,Standard
190,190,431.4,2025-06-01,Overnight
191,191,394.36,2025-09-14,Express
192,192,412.38,2025-09-12,Express
193,193,233.55,2025-04-13,Overnight
194,194,496.32,2025-10-06,Standard
195,195,195.0,2025-09-14,Express
196,196,135.31,2025-06-22,Overnight
197,197,51.54,2025-07-11,Express
198,198,73.61,2025-04-28,Standard
199,199,161.57,2025-10-01,Express
200,200,386.05,2025-08-17,Overnight
201,201,265.28,2025-07-04,Standard
202,202,91.01,2025-06-06,Standard
203,203,365.31,2025-09-02,Standard
204,204,55.44,2025-09-15,Overnight
205,205,343.55,2025-06-25,Overnight
206,206,324.55,2025-04-27,Overnight
207,207,333.42,2025-05-12,Overnight
208,208,135.5,2025-05-10,Express
209,209,279.71,2025-07-08,Standard
210,210,165.58,2025-08-26,Overnight
211,211,462.8,2025-04-29,Express
212,212,53.67,2025-05-12,Express
213,213,203.37,2025-04-11,Express
214,214,347.12,2025-05-30,Standard
215,215,174.38,2025-08-10,Overnight
216,216,396.97,2025-10-05,Overnight
217,217,397.57,2025-09-07,Express
218,218,176.91,2025-04-30,Standard
219,219,146.52,2025-09-28,Express
220,220,74.68,2025-08-18,Overnight
221,221,378.46,2025-08-04,Express
222,222,209.13,2025-08-19,Standard
223,223,295.32,2025-05-22,Overnight
224,224,365.31,2025-08-22,Express
225,225,54.71,2025-05-24,Standard
226,226,456.83,2025-06-22,Express
227,227,353.52,2025-08-04,Overnight
228,228,475.47,2025-08-11,Overnight
229,229,26.35,2025-04-10,Standard
230,230,227.87,2025-06-07,Overnight
231,231,157.95,2025-09-26,Standard
232,232,359.57,2025-05-13,Overnight
233,233,323.8,2025-09-13,Express
234,234,311.78,2025-04-19,Express
235,235,119.76,2025-08-07,Overnight
236,236,21.9,2025-07-15,Overnight
237,237,291.23,2025-07-07,Express
238,238,299.58,2025-06-21,Overnight
239,239,339.43,2025-07-20,Standard
240,240,292.78,2025-05-30,Express
241,241,427.05,2025-08-26,Overnight
242,242,275.35,2025-09-01,Express
243,243,381.63,2025-06-05,Express
244,244,161.99,2025-06-30,Express
245,245,412.93,2025-09-09,Standard
246,246,436.33,2025-09-23,Overnight
247,247,352.22,2025-07-31,Overnight
248,248,132.16,2025-06-29,Overnight
249,249,140.55,2025-10-03,Express
250,250,42.86,2025-04-15,Overnight
251,251,278.6,2025-06-01,Express
252,252,53.21,2025-06-26,Standard
253,253,287.43,2025-08-07,Express
254,254,303.69,2025-05-09,Standard
255,255,249.72,2025-05-24,Standard
256,256,110.2,2025-07-17,Standard
257,257,375.25,2025-06-18,Express
258,258,21.6,2025-07-18,Overnight
259,259,288.13,2025-04-17,Overnight
260,260,47.37,2025-06-06,Overnight
261,261,351.04,2025-06-24,Standard
262,262,112.61,2025-07-31,Standard
263,263,171.12,2025-08-02,Standard
264,264,135.28,2025-06-24,Express
265,265,207.62,2025-08-16,Express
266,266,292.58,2025-05-05,Overnight
267,267,492.28,2025-08-13,Overnight
268,268,434.27,2025-05-24,Standard
269,269,299.29,2025-10-02,Express
270,270,335.22,2025-06-10,Standard
271,271,157.11,2025-09-13,Overnight
272,272,405.92,2025-07-11,Standard
273,273,111.25,2025-07-30,Overnight
274,274,387.65,2025-06-19,Overnight
275,275,466.24,2025-04-29,Overnight
276,276,104.95,2025-05-02,Overnight
277,277,114.94,2025-06-17,Express
278,278,280.89,2025-09-25,Overnight
279,279,375.62,2025-08-09,Express
280,280,125.97,2025-06-01,Standard
281,281,457.59,2025-07-14,Standard
282,282,312.06,2025-05-09,Standard
283,283,112.89,2025-05-18,Standard
284,284,104.25,2025-08-14,Overnight
285,285,53.34,2025-04-12,Overnight
286,286,23.15,2025-04-29,Express
287,287,63.16,2025-04-27,Express
288,288,109.44,2025-06-05,Overnight
289,289,344.37,2025-05-27,Standard
290,290,385.38,2025-07-04,Standard
291,291,298.13,2025-06-11,Express
292,292,54.38,2025-08-25,Overnight
293,293,428.44,2025-06-26,Standard
294,294,173.25,2025-05-06,Standard
295,295,164.08,2025-08-23,Overnight
296,296,321.66,2025-08-07,Standard
297,297,424.63,2025-09-06,Overnight
298,298,55.94,2025-05-10,Overnight
299,299,412.24,2025-07-15,Express
300,300,236.57,2025-05-23,Standard
301,301,70.66,2025-05-20,Standard
302,302,263.56,2025-09-08,Standard
303,303,304.0,2025-04-14,Standard
304,304,308.53,2025-07-18,Standard
305,305,400.63,2025-04-27,Standard
306,306,331.41,2025-05-04,Standard
307,307,448.8,2025-09-19,Standard
308,308,362.06,2025-09-01,Express
309,309,122.81,2025-09-27,Overnight
310,310,315.45,2025-08-16,Express
311,311,298.01,2025-08-31,Express
312,312,402.08,2025-06-18,Standard
313,313,305.57,2025-06-02,Overnight
314,314,433.71,2025-09-22,Overnight
315,315,134.2,2025-06-12,Overnight
316,316,143.77,2025-06-27,Express
317,317,319.97,2025-04-14,Standard
318,318,161.06,2025-04-21,Standard
319,319,52.5,2025-08-31,Overnight
320,320,26.25,2025-04-16,Standard
321,321,407.8,2025-07-31,Standard
322,322,416.17,2025-04-17,Express
323,323,113.28,2025-05-12,Express
324,324,131.01,2025-05-13,Standard
325,325,139.39,2025-05-31,Overnight
326,326,460.87,2025-07-12,Express
327,327,276.13,2025-06-09,Standard
328,328,237.81,2025-06-12,Standard
329,329,76.57,2025-08-23,Standard
330,330,216.38,2025-05-10,Express
331,331,395.71,2025-04-23,Express
332,332,402.44,2025-06-02,Express
333,333,339.15,2025-10-07,Standard
334,334,260.71,2025-07-23,Overnight
335,335,435.74,2025-09-23,Standard
336,336,58.38,2025-10-07,Express
337,337,286.43,2025-09-20,Standard
338,338,230.62,2025-09-10,Overnight
339,339,113.56,2025-09-15,Standard
340,340,252.09,2025-05-29,Express
341,341,128.35,2025-05-31,Overnight
342,342,23.88,2025-04-29,Standard
343,343,219.49,2025-07-21,Overnight
344,344,86.85,2025-08-14,Express
345,345,159.11,2025-09-28,Express
346,346,294.05,2025-09-07,Express
347,347,242.83,2025-06-22,Standard
348,348,196.79,2025-08-23,Standard
349,349,391.67,2025-09-09,Express
350,350,282.46,2025-06-09,Standard
351,351,142.41,2025-07-03,Standard
352,352,98.76,2025-09-27,Express
353,353,176.71,2025-08-14,Overnight
354,354,32.55,2025-04-24,Standard
355,355,364.32,2025-06-18,Express
356,356,335.04,2025-06-21,Standard
357,357,215.19,2025-06-28,Standard
358,358,408.09,2025-04-11,Overnight
359,359,27.1,2025-08-12,Express
360,360,197.53,2025-08-22,Overnight
361,361,135.2,2025-08-15,Overnight
362,362,271.82,2025-09-14,Overnight
363,363,279.77,2025-05-31,Standard
364,364,335.08,2025-06-17,Standard
365,365,424.08,2025-07-22,Standard
366,366,337.4,2025-06-17,Express
367,367,99.07,2025-07-08,Express
368,368,142.42,2025-07-11,Express
369,369,436.67,2025-06-27,Standard
370,370,407.95,2025-09-09,Standard
371,371,125.7,2025-04-27,Overnight
372,372,343.61,2025-06-27,Express
373,373,330.99,2025-07-10,Overnight
374,374,380.7,2025-07-09,Express
375,375,203.61,2025-08-03,Overnight
376,376,303.71,2025-08-07,Standard
377,377,207.26,2025-09-21,Express
378,378,403.07,2025-07-12,Express
379,379,184.53,2025-07-27,Standard
380,380,355.86,2025-09-29,Standard
381,381,330.99,2025-05-31,Standard
382,382,186.85,2025-06-09,Overnight
383,383,324.3,2025-08-28,Standard
384,384,86.33,2025-05-26,Express
385,385,144.32,2025-10-02,Overnight
386,386,72.44,2025-09-01,Express
387,387,69.71,2025-09-28,Express
388,388,124.44,2025-08-25,Overnight
389,389,20.25,2025-07-19,Express
390,390,115.54,2025-06-17,Standard
391,391,23.19,2025-04-23,Express
392,392,133.64,2025-06-21,Overnight
393,393,181.02,2025-06-09,Express
394,394,229.33,2025-09-12,Standard
395,395,347.13,2025-05-06,Overnight
396,396,396.8,2025-04-12,Express
397,397,283.77,2025-06-18,Express
398,398,192.69,2025-05-28,Standard
399,399,455.64,2025-09-21,Express
400,400,25.26,2025-08-31,Overnight
401,401,485.53,2025-09-08,Overnight
402,402,186.84,2025-04-18,Standard
403,403,123.82,2025-05-02,Overnight
404,404,288.23,2025-04-15,Standard
405,405,169.92,2025-10-02,Overnight
406,406,108.41,2025-07-05,Standard
407,407,217.08,2025-07-10,Overnight
408,408,161.27,2025-08-04,Express
409,409,118.21,2025-04-29,Standard
410,410,450.49,2025-05-12,Standard
411,411,136.3,2025-06-18,Express
412,412,253.57,2025-07-05,Standard
413,413,64.2,2025-04-23,Express
414,414,373.87,2025-05-04,Overnight
415,415,74.13,2025-07-26,Express
416,416,85.5,2025-09-03,Express
417,417,38.3,2025-07-28,Express
418,418,208.29,2025-10-07,Express
419,419,79.06,2025-05-28,Overnight
420,420,88.58,2025-05-18,Express
421,421,147.68,2025-06-11,Overnight
422,422,207.6,2025-09-17,Express
423,423,233.27,2025-04-26,Standard
424,424,292.07,2025-06-21,Express
425,425,187.8,2025-04-25,Overnight
426,426,40.26,2025-09-08,Overnight
427,427,216.22,2025-07-11,Standard
428,428,365.58,2025-05-19,Express
429,429,464.16,2025-08-09,Standard
430,430,244.61,2025-05-14,Express
431,431,458.54,2025-07-20,Express
432,432,146.26,2025-07-16,Overnight
433,433,291.38,2025-05-28,Standard
434,434,177.29,2025-07-23,Overnight
435,435,300.06,2025-09-18,Express
436,436,489.25,2025-04-26,Overnight
437,437,417.84,2025-09-19,Express
438,438,205.47,2025-07-02,Overnight
439,439,290.51,2025-10-01,Standard
440,440,297.0,2025-08-19,Express
441,441,432.5,2025-05-20,Overnight
442,442,306.52,2025-06-07,Express
443,443,59.99,2025-09-15,Overnight
444,444,181.44,2025-08-18,Express
445,445,98.65,2025-09-26,Overnight
446,446,38.16,2025-05-26,Overnight
447,447,130.16,2025-05-05,Express
448,448,332.97,2025-06-29,Standard
449,449,482.37,2025-07-21,Overnight
450,450,39.18,2025-09-15,Standard
451,451,166.64,2025-06-15,Standard
452,452,395.52,2025-05-18,Standard
453,453,297.5,2025-07-19,Overnight
454,454,108.84,2025-05-09,Express
455,455,297.22,2025-04-21,Express
456,456,277.12,2025-08-28,Overnight
457,457,382.05,2025-08-22,Express
458,458,48.13,2025-08-24,Express
459,459,74.37,2025-04-30,Express
460,460,253.98,2025-09-27,Standard
461,461,141.54,2025-07-15,Express
462,462,71.07,2025-05-22,Overnight
463,463,297.93,2025-07-22,Express
464,464,277.08,2025-04-23,Express
465,465,325.14,2025-07-04,Express
466,466,225.11,2025-06-21,Overnight
467,467,411.46,2025-06-19,Standard
468,468,356.79,2025-07-26,Overnight
469,469,287.52,2025-09-29,Express
470,470,84.27,2025-05-12,Overnight
471,471,312.49,2025-06-18,Standard
472,472,156.51,2025-04-29,Express
473,473,409.42,2025-07-13,Express
474,474,195.77,2025-05-25,Standard
475,475,370.44,2025-06-22,Overnight
476,476,134.13,2025-08-18,Standard
477,477,308.77,2025-09-13,Overnight
478,478,250.68,2025-08-25,Express
479,479,467.16,2025-09-12,Overnight
480,480,85.03,2025-08-26,Express
481,481,67.56,2025-04-14,Overnight
482,482,48.47,2025-06-14,Express
483,483,211.92,2025-08-16,Overnight
484,484,141.95,2025-06-29,Overnight
485,485,170.67,2025-04-16,Overnight
486,486,186.61,2025-06-23,Standard
487,487,128.02,2025-06-16,Standard
488,488,462.1,2025-06-16,Overnight
489,489,186.18,2025-07-06,Express
490,490,319.07,2025-08-18,Express
491,491,44.83,2025-06-24,Standard
492,492,183.85,2025-05-20,Standard
493,493,83.14,2025-06-05,Standard
494,494,345.06,2025-08-17,Express
495,495,345.9,2025-05-03,Overnight
496,496,57.16,2025-06-11,Express
497,497,127.22,2025-05-05,Standard
498,498,199.21,2025-05-10,Standard
499,499,88.06,2025-08-12,Overnight
500,500,23.53,2025-08-07,Standard
501,501,292.54,2025-05-27,Express
502,502,270.04,2025-09-03,Overnight
503,503,389.22,2025-07-31,Standard
504,504,58.24,2025-06-28,Overnight
505,505,282.41,2025-05-03,Standard
506,506,272.03,2025-09-21,Overnight
507,507,430.64,2025-08-23,Express
508,508,158.97,2025-06-10,Express
509,509,259.67,2025-04-10,Overnight
510,510,28.11,2025-08-02,Standard
511,511,339.48,2025-04-19,Overnight
512,512,26.14,2025-04-23,Express
513,513,206.03,2025-05-19,Express
514,514,351.13,2025-05-29,Standard
515,515,420.19,2025-07-01,Standard
516,516,441.42,2025-05-28,Express
517,517,210.7,2025-06-03,Standard
518,518,273.84,2025-06-27,Standard
519,519,144.43,2025-06-16,Overnight
520,520,249.91,2025-08-18,Overnight
521,521,312.84,2025-09-06,Standard
522,522,472.07,2025-07-08,Overnight
523,523,164.41,2025-08-03,Standard
524,524,55.56,2025-05-10,Express
525,525,126.22,2025-07-16,Express
526,526,192.26,2025-05-27,Express
527,527,312.19,2025-09-14,Express
528,528,223.05,2025-06-07,Standard
529,529,481.67,2025-07-17,Standard
530,530,269.54,2025-05-25,Express
531,531,166.26,2025-08-08,Overnight
532,532,123.69,2025-08-17,Overnight
533,533,240.31,2025-10-03,Standard
534,534,151.84,2025-04-13,Express
535,535,120.59,2025-06-25,Standard
536,536,496.55,2025-06-25,Standard
537,537,349.45,2025-04-22,Express
538,538,196.02,2025-07-25,Express
539,539,21.0,2025-05-20,Overnight
540,540,54.07,2025-07-14,Express
541,541,309.72,2025-07-16,Express
542,542,348.28,2025-06-27,Standard
543,543,43.99,2025-06-15,Express
544,544,177.06,2025-06-16,Overnight
545,545,197.98,2025-07-02,Express
546,546,238.01,2025-07-17,Express
547,547,497.12,2025-10-02,Express
548,548,286.81,2025-09-02,Standard
549,549,90.11,2025-09-27,Standard
550,550,50.8,2025-08-20,Overnight
551,551,255.38,2025-09-08,Standard
552,552,168.78,2025-09-16,Express
553,553,414.24,2025-08-12,Express
554,554,189.77,2025-05-08,Standard
555,555,304.99,2025-05-30,Overnight
556,556,423.01,2025-05-24,Standard
557,557,25.82,2025-04-09,Standard
558,558,396.59,2025-04-17,Express
559,559,291.92,2025-06-18,Overnight
560,560,493.78,2025-09-21,Overnight
561,561,148.96,2025-08-31,Standard
562,562,308.26,2025-09-24,Express
563,563,240.15,2025-10-05,Express
564,564,150.63,2025-08-07,Overnight
565,565,435.43,2025-08-03,Standard
566,566,88.82,2025-10-07,Express
567,567,295.78,2025-08-16,Overnight
568,568,483.26,2025-09-30,Express
569,569,171.04,2025-05-11,Standard
570,570,363.47,2025-04-10,Express
571,571,121.82,2025-05-26,Standard
572,572,297.79,2025-09-21,Overnight
573,573,135.85,2025-08-16,Standard
574,574,389.49,2025-08-10,Standard
575,575,361.97,2025-10-01,Standard
576,576,395.42,2025-09-03,Standard
577,577,382.91,2025-08-03,Overnight
578,578,431.91,2025-05-10,Standard
579,579,101.76,2025-09-26,Standard
580,580,418.74,2025-07-25,Express
581,581,242.47,2025-06-09,Standard
582,582,421.92,2025-08-08,Overnight
583,583,375.95,2025-04-27,Standard
584,584,145.84,2025-05-10,Overnight
585,585,287.86,2025-05-31,Express
586,586,197.03,2025-06-20,Overnight
587,587,366.9,2025-09-08,Standard
588,588,200.66,2025-08-08,Overnight
589,589,223.03,2025-06-30,Overnight
590,590,397.23,2025-04-30,Express
591,591,455.45,2025-08-31,Express
592,592,254.08,2025-08-14,Standard
593,593,377.94,2025-08-18,Standard
594,594,164.93,2025-04-29,Standard
595,595,395.96,2025-05-26,Overnight
596,596,336.35,2025-05-22,Standard
597,597,416.62,2025-08-12,Express
598,598,72.34,2025-06-14,Overnight
599,599,283.44,2025-05-06,Express
600,600,375.01,2025-08-15,Standard
601,601,467.69,2025-04-27,Overnight
602,602,481.53,2025-04-14,Express
603,603,133.0,2025-09-30,Overnight
604,604,241.82,2025-08-13,Overnight
605,605,138.27,2025-09-07,Express
606,606,24.63,2025-08-04,Overnight
607,607,283.9,2025-05-12,Standard
608,608,473.44,2025-07-30,Express
609,609,308.46,2025-05-28,Standard
610,610,115.81,2025-09-16,Overnight
611,611,356.01,2025-05-28,Standard
612,612,333.96,2025-07-04,Standard
613,613,171.05,2025-07-30,Overnight
614,614,315.19,2025-05-27,Overnight
615,615,488.63,2025-08-16,Express
616,616,469.28,2025-07-19,Standard
617,617,256.16,2025-05-28,Standard
618,618,164.19,2025-08-31,Standard
619,619,469.79,2025-09-23,Standard
620,620,317.93,2025-06-18,Overnight
621,621,236.88,2025-09-02,Overnight
622,622,318.96,2025-09-19,Standard
623,623,487.54,2025-04-22,Standard
624,624,257.52,2025-08-22,Express
625,625,288.55,2025-08-24,Standard
626,626,209.72,2025-09-15,Overnight
627,627,295.92,2025-09-05,Overnight
628,628,202.63,2025-05-14,Standard
629,629,241.03,2025-10-04,Overnight
630,630,114.79,2025-04-23,Overnight
631,631,239.56,2025-08-01,Standard
632,632,68.66,2025-07-31,Express
633,633,84.39,2025-07-27,Overnight
634,634,271.51,2025-10-07,Standard
635,635,249.08,2025-07-17,Overnight
636,636,280.38,2025-09-22,Standard
637,637,298.1,2025-09-01,Express
638,638,208.25,2025-04-19,Overnight
639,639,248.32,2025-10-04,Overnight
640,640,349.67,2025-05-02,Standard
641,641,274.63,2025-08-14,Express
642,642,292.06,2025-08-11,Standard
643,643,48.57,2025-09-30,Express
644,644,69.31,2025-04-28,Overnight
645,645,25.35,2025-06-21,Standard
646,646,287.43,2025-08-22,Overnight
647,647,210.75,2025-07-04,Standard
648,648,242.3,2025-08-11,Overnight
649,649,301.38,2025-09-07,Express
650,650,182.89,2025-07-27,Express
651,651,342.78,2025-04-09,Overnight
652,652,181.85,2025-09-08,Standard
653,653,243.91,2025-08-06,Overnight
654,654,302.25,2025-10-08,Express
655,655,375.12,2025-05-04,Overnight
656,656,53.72,2025-09-29,Standard
657,657,158.38,2025-10-06,Overnight
658,658,398.5,2025-07-23,Standard
659,659,367.92,2025-05-28,Standard
660,660,414.18,2025-10-02,Express
661,661,134.26,2025-05-31,Express
662,662,239.7,2025-05-28,Express
663,663,434.26,2025-09-29,Standard
664,664,107.44,2025-04-11,Overnight
665,665,293.5,2025-06-21,Standard
666,666,138.04,2025-07-21,Express
667,667,460.18,2025-07-01,Standard
668,668,397.66,2025-06-12,Standard
669,669,411.32,2025-06-17,Standard
670,670,76.22,2025-07-25,Standard
671,671,244.66,2025-06-19,Overnight
672,672,49.29,2025-05-17,Standard
673,673,471.3,2025-09-13,Overnight
674,674,275.5,2025-08-10,Standard
675,675,226.82,2025-04-27,Standard
676,676,300.35,2025-07-24,Standard
677,677,365.22,2025-06-25,Standard
678,678,184.83,2025-07-04,Standard
679,679,92.9,2025-09-23,Standard
680,680,315.0,2025-08-16,Standard
681,681,460.2,2025-08-22,Overnight
682,682,132.88,2025-07-22,Overnight
683,683,108.17,2025-08-13,Overnight
684,684,162.11,2025-04-28,Express
685,685,267.18,2025-05-24,Standard
686,686,70.34,2025-07-08,Standard
687,687,243.94,2025-07-08,Standard
688,688,435.96,2025-05-20,Express
689,689,103.39,2025-04-11,Express
690,690,376.17,2025-07-30,Standard
691,691,234.22,2025-07-06,Express
692,692,472.18,2025-07-20,Overnight
693,693,40.14,2025-06-25,Standard
694,694,296.02,2025-05-08,Express
695,695,369.33,2025-05-02,Overnight
696,696,186.48,2025-05-03,Standard
697,697,452.1,2025-10-03,Overnight
698,698,219.02,2025-08-08,Standard
699,699,180.6,2025-08-11,Overnight
700,700,99.34,2025-04-10,Overnight
701,701,202.69,2025-04-26,Overnight
702,702,327.31,2025-07-03,Standard
703,703,478.3,2025-09-23,Overnight
704,704,352.04,2025-06-14,Standard
705,705,438.97,2025-05-15,Standard
706,706,196.08,2025-05-09,Overnight
707,707,103.66,2025-10-01,Standard
708,708,108.45,2025-07-11,Express
709,709,163.87,2025-09-24,Standard
710,710,491.25,2025-06-14,Overnight
711,711,282.29,2025-07-31,Overnight
712,712,437.14,2025-08-27,Standard
713,713,203.79,2025-08-03,Standard
714,714,329.47,2025-06-04,Overnight
715,715,313.79,2025-10-01,Overnight
716,716,489.25,2025-06-26,Express
717,717,278.8,2025-06-06,Standard
718,718,309.03,2025-05-13,Standard
719,719,443.11,2025-08-28,Overnight
720,720,34.99,2025-07-29,Overnight
721,721,79.28,2025-07-19,Overnight
722,722,169.09,2025-08-13,Express
723,723,336.13,2025-04-30,Express
724,724,276.81,2025-09-24,Overnight
725,725,466.55,2025-08-28,Overnight
726,726,452.59,2025-07-02,Overnight
727,727,196.01,2025-07-27,Overnight
728,728,393.75,2025-06-11,Express
729,729,402.64,2025-08-22,Express
730,730,258.92,2025-05-23,Express
731,731,29.97,2025-09-13,Express
732,732,467.94,2025-05-16,Overnight
