order_id,customer_id,order_date,status,payment_status,total_amount,shipping_address_id,payment_method_id
ORD-000050,CUST-0865,2025-09-22,returned,failed,4232.30,ADDR-00553,PM-00708
ORD-000051,CUST-0065,2024-03-07,shipped,failed,1920.29,ADDR-01146,PM-00720
ORD-000052,CUST-0652,2023-01-05,delivered,failed,4951.88,ADDR-00048,PM-00379
ORD-000053,CUST-0791,2024-12-01,shipped,pending,350.86,ADDR-01007,PM-00678
ORD-000054,CUST-0245,2024-11-03,delivered,paid,4329.07,ADDR-00563,PM-00342
ORD-000055,CUST-0153,2024-07-18,cancelled,refunded,1970.94,ADDR-00376,PM-00705
ORD-000056,CUST-0229,2024-06-25,shipped,failed,2927.57,ADDR-00714,PM-00600
ORD-000057,CUST-0442,2025-09-27,processing,paid,2053.24,ADDR-01198,PM-00476
ORD-000058,CUST-0946,2023-11-08,delivered,failed,3238.25,ADDR-00641,PM-00451
ORD-000059,CUST-0191,2024-07-10,processing,refunded,3329.15,ADDR-00934,PM-00410
ORD-000060,CUST-0864,2023-05-24,processing,failed,6549.16,ADDR-00975,PM-00768
ORD-000061,CUST-0264,2024-06-22,processing,refunded,54.30,ADDR-00804,PM-00328
ORD-000062,CUST-0240,2023-03-27,returned,refunded,7680.09,ADDR-00493,PM-00042
ORD-000063,CUST-0447,2025-02-01,cancelled,paid,1641.89,ADDR-00637,PM-00688
ORD-000064,CUST-0553,2023-05-27,shipped,refunded,3461.89,ADDR-00903,PM-00467
ORD-000065,CUST-0235,2025-04-27,returned,paid,410.87,ADDR-00632,PM-01029
ORD-000066,CUST-0666,2023-06-05,processing,pending,383.97,ADDR-00757,PM-00497
ORD-000067,CUST-0149,2024-07-20,shipped,pending,591.94,ADDR-00220,PM-00505
ORD-000068,CUST-0453,2024-01-23,cancelled,pending,3610.83,ADDR-01242,PM-00131
ORD-000069,CUST-0767,2023-10-20,delivered,pending,6703.99,ADDR-00175,PM-01068
ORD-000070,CUST-0938,2025-03-25,processing,paid,2921.35,ADDR-01405,PM-00322
ORD-000071,CUST-0110,2023-11-25,processing,refunded,660.20,ADDR-00302,PM-01198
ORD-000072,CUST-0400,2025-07-13,delivered,paid,2972.98,ADDR-00926,PM-00438
ORD-000073,CUST-0055,2025-01-18,returned,refunded,4891.85,ADDR-00469,PM-00319
ORD-000074,CUST-0581,2025-07-10,processing,failed,3134.78,ADDR-00907,PM-00447
ORD-000075,CUST-0579,2024-06-10,cancelled,refunded,8021.61,ADDR-00003,PM-00906
ORD-000076,CUST-0083,2024-01-18,shipped,paid,2297.89,ADDR-00521,PM-00562
ORD-000077,CUST-0795,2024-10-23,cancelled,pending,3778.74,ADDR-01148,PM-01013
ORD-000078,CUST-0902,2023-02-26,shipped,failed,817.37,ADDR-01031,PM-00819
ORD-000079,CUST-0798,2023-02-18,delivered,paid,2402.59,ADDR-01239,PM-00422
ORD-000080,CUST-0305,2024-10-02,processing,pending,1726.30,ADDR-00492,PM-00869
ORD-000081,CUST-0681,2023-05-16,cancelled,pending,4531.89,ADDR-00147,PM-00100
ORD-000082,CUST-0559,2023-11-14,shipped,pending,3700.43,ADDR-00006,PM-00202
ORD-000083,CUST-0816,2023-08-30,shipped,paid,4393.05,ADDR-01127,PM-00404
ORD-000084,CUST-0653,2024-02-25,shipped,refunded,3717.68,ADDR-00019,PM-00487
ORD-000085,CUST-0756,2024-01-25,returned,paid,4448.36,ADDR-00955,PM-01046
ORD-000086,CUST-0044,2023-01-24,delivered,pending,3163.48,ADDR-00166,PM-00527
ORD-000087,CUST-0468,2023-04-27,cancelled,pending,285.25,ADDR-00551,PM-01149
ORD-000088,CUST-0688,2024-06-29,returned,failed,3290.33,ADDR-00214,PM-00370
ORD-000089,CUST-0784,2023-04-23,returned,paid,5250.43,ADDR-01275,PM-00543
ORD-000090,CUST-0484,2023-05-26,returned,refunded,5345.70,ADDR-00705,PM-00694
ORD-000091,CUST-0439,2024-05-25,processing,pending,4645.06,ADDR-00900,PM-00914
ORD-000092,CUST-0769,2023-05-25,cancelled,pending,896.48,ADDR-01198,PM-00726
ORD-000093,CUST-0391,2025-08-03,cancelled,pending,671.10,ADDR-00052,PM-00763
ORD-000094,CUST-0558,2025-05-16,returned,refunded,862.86,ADDR-00587,PM-00096
ORD-000095,CUST-0950,2025-01-04,delivered,refunded,3248.08,ADDR-00141,PM-00619
ORD-000096,CUST-0435,2023-07-29,shipped,paid,1796.44,ADDR-00608,PM-00227
ORD-000097,CUST-0701,2023-11-02,shipped,paid,1036.12,ADDR-00768,PM-00381
ORD-000098,CUST-0545,2025-01-24,cancelled,pending,2028.20,ADDR-00852,PM-00537
ORD-000099,CUST-0387,2024-07-05,returned,refunded,11087.70,ADDR-01215,PM-01046
ORD-000100,CUST-0237,2023-01-04,processing,failed,813.34,ADDR-01109,PM-00451
ORD-000101,CUST-0233,2024-12-07,processing,failed,7413.78,ADDR-01181,PM-00371
ORD-000102,CUST-0060,2024-01-28,delivered,pending,847.84,ADDR-00574,PM-00132
ORD-000103,CUST-0960,2024-12-03,shipped,paid,5399.97,ADDR-00168,PM-01113
ORD-000104,CUST-0492,2023-05-08,returned,pending,3176.32,ADDR-00042,PM-00180
ORD-000105,CUST-0869,2025-04-27,cancelled,failed,5171.53,ADDR-01387,PM-00918
ORD-000106,CUST-0489,2025-07-04,delivered,refunded,1041.84,ADDR-01279,PM-00117
ORD-000107,CUST-0128,2023-04-24,delivered,refunded,1008.22,ADDR-00688,PM-00856
ORD-000108,CUST-0548,2024-11-09,processing,paid,511.76,ADDR-00887,PM-00158
ORD-000109,CUST-0250,2023-04-07,cancelled,pending,4699.50,ADDR-00193,PM-00345
ORD-000110,CUST-0183,2025-02-01,cancelled,paid,4471.82,ADDR-00858,PM-00625
ORD-000111,CUST-0091,2024-08-10,shipped,paid,5151.15,ADDR-00803,PM-01087
ORD-000112,CUST-0506,2023-12-23,shipped,pending,886.98,ADDR-00236,PM-00797
ORD-000113,CUST-0124,2025-04-01,shipped,paid,736.96,ADDR-00963,PM-01080
ORD-000114,CUST-0047,2023-11-14,returned,paid,4696.94,ADDR-00497,PM-00976
ORD-000115,CUST-0796,2023-12-07,returned,pending,5374.89,ADDR-00700,PM-00863
ORD-000116,CUST-0851,2023-05-07,shipped,refunded,4298.90,ADDR-00571,PM-00447
ORD-000117,CUST-0914,2023-12-17,processing,refunded,4105.49,ADDR-00558,PM-00143
ORD-000118,CUST-0864,2025-10-02,delivered,refunded,1600.67,ADDR-00863,PM-00368
ORD-000119,CUST-0556,2024-02-09,shipped,failed,842.09,ADDR-00734,PM-00529
ORD-000120,CUST-0240,2023-04-07,delivered,refunded,6143.63,ADDR-00446,PM-00108
ORD-000121,CUST-0755,2023-12-12,returned,paid,7034.48,ADDR-01333,PM-00878
ORD-000122,CUST-0139,2024-10-06,delivered,paid,6011.04,ADDR-01152,PM-00361
ORD-000123,CUST-0969,2025-02-17,processing,refunded,1963.75,ADDR-00821,PM-01041
ORD-000124,CUST-0637,2024-04-26,shipped,refunded,1049.53,ADDR-00928,PM-00059
ORD-000125,CUST-0232,2024-12-24,delivered,paid,2202.76,ADDR-01447,PM-00370
ORD-000126,CUST-0753,2025-05-21,delivered,paid,1225.46,ADDR-01410,PM-01076
ORD-000127,CUST-0241,2024-03-20,delivered,failed,5128.26,ADDR-00030,PM-00193
ORD-000128,CUST-0567,2025-06-12,delivered,pending,1608.63,ADDR-01371,PM-00064
ORD-000129,CUST-0773,2024-01-12,processing,failed,26.66,ADDR-00900,PM-00843
ORD-000130,CUST-0754,2024-06-11,cancelled,paid,8261.07,ADDR-00689,PM-00854
ORD-000131,CUST-0636,2024-07-06,returned,paid,2095.28,ADDR-00395,PM-00958
ORD-000132,CUST-0333,2023-04-06,returned,paid,810.35,ADDR-01042,PM-00367
ORD-000133,CUST-0205,2023-11-22,cancelled,failed,2558.20,ADDR-01263,PM-00548
ORD-000134,CUST-0037,2024-10-11,shipped,pending,4440.69,ADDR-00984,PM-00783
ORD-000135,CUST-0794,2023-06-21,returned,failed,1241.76,ADDR-00479,PM-00475
ORD-000136,CUST-0641,2025-04-22,returned,pending,2339.32,ADDR-01247,PM-00034
ORD-000137,CUST-0880,2023-06-02,delivered,paid,4333.70,ADDR-00776,PM-00870
ORD-000138,CUST-0826,2023-11-04,returned,pending,457.44,ADDR-00488,PM-00528
ORD-000139,CUST-0756,2024-06-23,cancelled,refunded,4978.15,ADDR-01254,PM-00522
ORD-000140,CUST-0180,2023-10-19,shipped,pending,1480.20,ADDR-00786,PM-00274
ORD-000141,CUST-0841,2025-05-02,processing,failed,6318.47,ADDR-00335,PM-01146
ORD-000142,CUST-0624,2023-10-06,cancelled,paid,1409.99,ADDR-00510,PM-01166
ORD-000143,CUST-0433,2023-10-18,delivered,pending,4171.51,ADDR-00661,PM-00197
ORD-000144,CUST-0563,2024-06-19,shipped,paid,1751.19,ADDR-00078,PM-00697
ORD-000145,CUST-0218,2025-08-14,delivered,failed,6808.33,ADDR-01495,PM-00824
ORD-000146,CUST-0626,2024-08-16,delivered,refunded,3115.69,ADDR-00034,PM-00837
ORD-000147,CUST-0088,2025-05-16,delivered,refunded,1148.52,ADDR-00169,PM-00166
ORD-000148,CUST-0267,2025-03-26,cancelled,paid,3289.80,ADDR-00690,PM-00804
ORD-000149,CUST-0334,2023-01-01,delivered,paid,774.25,ADDR-01112,PM-01035
ORD-000150,CUST-0679,2023-10-27,delivered,pending,2862.75,ADDR-00419,PM-00582
ORD-000151,CUST-0336,2023-01-20,delivered,failed,2800.95,ADDR-00035,PM-00687
ORD-000152,CUST-0319,2023-02-16,shipped,failed,969.30,ADDR-00365,PM-01149
ORD-000153,CUST-0922,2023-12-06,cancelled,paid,3848.85,ADDR-00616,PM-00069
ORD-000154,CUST-0503,2024-03-14,shipped,refunded,7187.08,ADDR-00617,PM-01054
ORD-000155,CUST-0417,2025-05-30,returned,paid,2331.66,ADDR-01375,PM-00790
ORD-000156,CUST-0738,2025-05-10,processing,paid,2041.79,ADDR-00163,PM-00290
ORD-000157,CUST-0087,2025-09-17,returned,pending,6308.46,ADDR-00004,PM-00603
ORD-000158,CUST-0537,2024-01-21,cancelled,paid,741.53,ADDR-00443,PM-00794
ORD-000159,CUST-0766,2024-03-08,shipped,failed,2289.83,ADDR-00623,PM-00577
ORD-000160,CUST-0800,2024-09-04,cancelled,pending,368.77,ADDR-00477,PM-00215
ORD-000161,CUST-0696,2024-03-07,processing,refunded,943.59,ADDR-01463,PM-00098
ORD-000162,CUST-0309,2023-10-14,delivered,refunded,2174.76,ADDR-00946,PM-00877
ORD-000163,CUST-0966,2024-02-06,cancelled,failed,4777.26,ADDR-01427,PM-00085
ORD-000164,CUST-0508,2023-09-29,cancelled,failed,4780.12,ADDR-01256,PM-00559
ORD-000165,CUST-0730,2023-12-09,shipped,failed,3108.82,ADDR-00390,PM-00914
ORD-000166,CUST-0803,2023-09-03,cancelled,refunded,2170.56,ADDR-00954,PM-00860
ORD-000167,CUST-0888,2024-05-06,cancelled,refunded,1503.52,ADDR-00727,PM-00165
ORD-000168,CUST-0091,2023-03-19,delivered,refunded,967.00,ADDR-00426,PM-00426
ORD-000169,CUST-0659,2025-01-04,processing,failed,1781.60,ADDR-00069,PM-00838
ORD-000170,CUST-0763,2023-10-25,delivered,failed,5684.18,ADDR-00501,PM-01076
ORD-000171,CUST-0886,2024-11-24,shipped,refunded,1335.23,ADDR-00881,PM-00066
ORD-000172,CUST-0030,2025-05-25,returned,paid,4996.26,ADDR-00144,PM-00123
ORD-000173,CUST-0080,2023-03-22,returned,refunded,979.79,ADDR-00644,PM-00165
ORD-000174,CUST-0767,2025-09-11,cancelled,failed,2554.14,ADDR-00823,PM-00874
ORD-000175,CUST-0436,2025-08-03,processing,refunded,8915.93,ADDR-01047,PM-00998
ORD-000176,CUST-0688,2024-10-28,cancelled,pending,2494.20,ADDR-01451,PM-00033
ORD-000177,CUST-0615,2024-08-23,delivered,paid,1642.03,ADDR-01079,PM-00139
ORD-000178,CUST-0004,2025-01-17,shipped,pending,1832.77,ADDR-01017,PM-00866
ORD-000179,CUST-0639,2024-07-01,cancelled,pending,540.61,ADDR-00319,PM-00138
ORD-000180,CUST-0091,2024-06-28,cancelled,refunded,905.95,ADDR-00067,PM-00632
ORD-000181,CUST-0605,2025-05-08,processing,failed,4714.32,ADDR-00930,PM-01025
ORD-000182,CUST-0310,2025-04-27,shipped,paid,1905.97,ADDR-00385,PM-00671
ORD-000183,CUST-0232,2025-03-12,returned,refunded,11767.88,ADDR-01322,PM-00463
ORD-000184,CUST-0886,2024-05-23,cancelled,failed,2613.11,ADDR-00196,PM-00418
ORD-000185,CUST-0691,2023-07-12,processing,pending,2783.35,ADDR-00728,PM-01053
ORD-000186,CUST-0548,2025-04-14,processing,failed,2651.83,ADDR-00431,PM-01080
ORD-000187,CUST-0617,2023-12-02,delivered,paid,625.25,ADDR-01183,PM-01071
ORD-000188,CUST-0995,2024-07-21,cancelled,failed,10421.07,ADDR-00740,PM-01063
ORD-000189,CUST-0551,2023-07-30,processing,pending,1544.51,ADDR-00638,PM-01091
ORD-000190,CUST-0201,2025-09-10,returned,paid,5420.60,ADDR-00529,PM-00789
ORD-000191,CUST-0178,2023-11-16,shipped,paid,2274.93,ADDR-01412,PM-00758
ORD-000192,CUST-0754,2025-08-03,processing,pending,389.22,ADDR-00130,PM-01055
ORD-000193,CUST-0090,2023-10-30,cancelled,paid,2367.69,ADDR-00403,PM-00511
ORD-000194,CUST-0870,2023-02-25,processing,failed,2600.38,ADDR-00458,PM-00080
ORD-000195,CUST-0461,2024-03-27,returned,paid,8009.05,ADDR-01376,PM-00205
ORD-000196,CUST-0321,2023-11-24,cancelled,refunded,3478.30,ADDR-01450,PM-00886
ORD-000197,CUST-0908,2023-11-07,processing,pending,1240.24,ADDR-01224,PM-00202
ORD-000198,CUST-0613,2023-10-01,delivered,pending,5837.68,ADDR-00113,PM-00854
ORD-000199,CUST-0823,2023-04-16,processing,refunded,7738.39,ADDR-00215,PM-00784
ORD-000200,CUST-0257,2023-05-18,processing,refunded,2287.38,ADDR-01097,PM-00290
ORD-000201,CUST-0086,2024-10-10,cancelled,failed,2552.81,ADDR-01307,PM-00824
ORD-000202,CUST-0583,2025-03-08,cancelled,pending,2792.48,ADDR-00063,PM-01084
ORD-000203,CUST-0955,2024-12-26,processing,paid,1879.04,ADDR-00023,PM-00708
ORD-000204,CUST-0565,2024-10-04,cancelled,paid,1076.26,ADDR-01441,PM-00413
ORD-000205,CUST-0677,2024-04-19,delivered,failed,3104.86,ADDR-01261,PM-01011
ORD-000206,CUST-0149,2024-09-16,delivered,paid,744.00,ADDR-00605,PM-00686
ORD-000207,CUST-0525,2025-06-24,processing,pending,4699.42,ADDR-01294,PM-01057
ORD-000208,CUST-0566,2023-01-30,shipped,pending,2481.41,ADDR-00537,PM-00027
ORD-000209,CUST-0270,2024-04-06,cancelled,failed,1136.87,ADDR-00086,PM-01187
ORD-000210,CUST-0996,2025-01-16,returned,failed,3875.23,ADDR-00893,PM-00804
ORD-000211,CUST-0138,2023-08-14,returned,refunded,8776.50,ADDR-01088,PM-01042
ORD-000212,CUST-0244,2023-03-17,shipped,refunded,2179.50,ADDR-01350,PM-00108
ORD-000213,CUST-0024,2025-06-24,processing,paid,4496.69,ADDR-01489,PM-00397
ORD-000214,CUST-0772,2024-04-02,processing,paid,343.27,ADDR-00439,PM-01043
ORD-000215,CUST-0748,2023-09-20,returned,failed,5022.38,ADDR-01495,PM-00504
ORD-000216,CUST-0729,2025-02-10,processing,failed,5068.08,ADDR-00942,PM-01154
ORD-000217,CUST-0575,2023-09-03,returned,failed,1202.73,ADDR-00191,PM-00838
ORD-000218,CUST-0340,2025-01-16,shipped,pending,4328.00,ADDR-01347,PM-00807
ORD-000219,CUST-0523,2025-02-16,returned,refunded,4773.94,ADDR-01284,PM-01083
ORD-000220,CUST-0171,2024-01-12,returned,pending,4753.88,ADDR-00326,PM-01077
ORD-000221,CUST-0158,2023-09-09,delivered,pending,6147.20,ADDR-00086,PM-00895
ORD-000222,CUST-0852,2024-03-08,cancelled,refunded,3987.43,ADDR-01309,PM-01015
ORD-000223,CUST-0225,2024-05-06,delivered,failed,2645.91,ADDR-01177,PM-00667
ORD-000224,CUST-0084,2025-08-18,cancelled,failed,3409.56,ADDR-00706,PM-00676
ORD-000225,CUST-0551,2024-12-26,cancelled,failed,6818.60,ADDR-00179,PM-00132
ORD-000226,CUST-0331,2025-02-17,processing,paid,2360.77,ADDR-01264,PM-01010
ORD-000227,CUST-0417,2023-12-31,delivered,paid,1823.88,ADDR-00734,PM-00893
ORD-000228,CUST-0543,2024-09-05,cancelled,pending,2052.72,ADDR-01480,PM-00017
ORD-000229,CUST-0063,2025-05-05,processing,refunded,2997.59,ADDR-00393,PM-00078
ORD-000230,CUST-0668,2024-10-16,shipped,pending,3990.85,ADDR-00576,PM-00297
ORD-000231,CUST-0221,2023-11-09,returned,pending,1823.91,ADDR-00983,PM-00782
ORD-000232,CUST-0785,2023-09-18,cancelled,paid,2704.36,ADDR-00170,PM-01037
ORD-000233,CUST-0875,2023-12-08,shipped,refunded,4873.25,ADDR-00496,PM-00768
ORD-000234,CUST-0355,2023-12-01,delivered,failed,1244.83,ADDR-00854,PM-00033
ORD-000235,CUST-0042,2024-09-21,cancelled,refunded,2901.85,ADDR-00548,PM-00826
ORD-000236,CUST-0768,2023-07-31,cancelled,failed,1259.52,ADDR-01279,PM-01175
ORD-000237,CUST-0841,2025-10-02,delivered,refunded,3327.83,ADDR-00911,PM-00315
ORD-000238,CUST-0740,2025-06-26,shipped,pending,90.20,ADDR-00041,PM-01019
ORD-000239,CUST-0092,2025-07-25,shipped,refunded,5001.17,ADDR-00374,PM-00854
ORD-000240,CUST-0490,2024-10-18,returned,failed,4604.02,ADDR-00591,PM-00810
ORD-000241,CUST-0023,2025-05-01,cancelled,failed,3243.08,ADDR-00169,PM-01153
ORD-000242,CUST-0495,2024-01-19,delivered,paid,3372.43,ADDR-00314,PM-01173
ORD-000243,CUST-0170,2023-12-14,shipped,paid,3942.19,ADDR-00880,PM-00565
ORD-000244,CUST-0660,2023-12-11,returned,refunded,211.10,ADDR-00558,PM-00902
ORD-000245,CUST-0597,2025-07-08,processing,refunded,3676.78,ADDR-00039,PM-00741
ORD-000246,CUST-0813,2024-12-26,shipped,failed,3945.69,ADDR-00456,PM-00885
ORD-000247,CUST-0820,2024-07-31,shipped,pending,8027.99,ADDR-01487,PM-00006
ORD-000248,CUST-0711,2023-09-04,delivered,paid,3382.04,ADDR-00709,PM-00432
ORD-000249,CUST-0053,2024-11-10,processing,paid,3766.94,ADDR-00253,PM-00683
ORD-000250,CUST-0630,2025-09-11,delivered,pending,3930.31,ADDR-01359,PM-00147
ORD-000251,CUST-0966,2024-01-10,cancelled,failed,388.68,ADDR-00822,PM-00522
ORD-000252,CUST-0749,2024-10-11,cancelled,failed,5114.90,ADDR-00196,PM-00806
ORD-000253,CUST-0322,2023-06-05,shipped,pending,9275.30,ADDR-01099,PM-00752
ORD-000254,CUST-0500,2024-01-06,returned,paid,1919.99,ADDR-01339,PM-00838
ORD-000255,CUST-0269,2024-10-05,processing,pending,2313.12,ADDR-00841,PM-00344
ORD-000256,CUST-0308,2023-01-19,cancelled,paid,5260.74,ADDR-00516,PM-00821
ORD-000257,CUST-0501,2025-01-07,shipped,failed,115.20,ADDR-00255,PM-01139
ORD-000258,CUST-0043,2024-06-14,shipped,refunded,2276.35,ADDR-00581,PM-00764
ORD-000259,CUST-0624,2025-04-24,cancelled,paid,823.54,ADDR-00040,PM-00160
ORD-000260,CUST-0041,2025-02-15,processing,refunded,502.38,ADDR-00073,PM-00785
ORD-000261,CUST-0501,2024-07-10,cancelled,pending,2809.84,ADDR-01084,PM-00641
ORD-000262,CUST-0160,2023-04-23,delivered,pending,3631.45,ADDR-01362,PM-01126
ORD-000263,CUST-0256,2023-12-28,shipped,refunded,501.39,ADDR-00997,PM-00492
ORD-000264,CUST-0609,2024-02-22,processing,refunded,2281.01,ADDR-00119,PM-00931
ORD-000265,CUST-0798,2023-03-29,shipped,pending,2947.96,ADDR-00708,PM-00219
ORD-000266,CUST-0619,2024-04-24,delivered,pending,13126.46,ADDR-01009,PM-00635
ORD-000267,CUST-0788,2025-04-19,processing,failed,303.05,ADDR-01066,PM-00046
ORD-000268,CUST-0937,2024-04-12,shipped,failed,4564.62,ADDR-01288,PM-00895
ORD-000269,CUST-0351,2023-07-05,cancelled,pending,3489.44,ADDR-01494,PM-00965
ORD-000270,CUST-0536,2024-02-04,cancelled,paid,3190.37,ADDR-00182,PM-00259
ORD-000271,CUST-0642,2024-11-04,shipped,failed,2245.13,ADDR-00326,PM-00774
ORD-000272,CUST-0658,2024-07-13,returned,pending,1704.13,ADDR-00683,PM-00627
ORD-000273,CUST-0271,2024-10-06,delivered,refunded,51.31,ADDR-00763,PM-00440
ORD-000274,CUST-0947,2023-03-20,processing,paid,4149.74,ADDR-01409,PM-01091
ORD-000275,CUST-0461,2023-07-12,returned,paid,5464.54,ADDR-01408,PM-00693
ORD-000276,CUST-0659,2024-07-06,processing,pending,4602.98,ADDR-00911,PM-00879
ORD-000277,CUST-0962,2023-03-24,delivered,refunded,517.17,ADDR-01374,PM-00276
ORD-000278,CUST-0535,2023-09-07,shipped,pending,6585.67,ADDR-00663,PM-00547
ORD-000279,CUST-0012,2023-07-20,processing,refunded,477.66,ADDR-00809,PM-00597
ORD-000280,CUST-0011,2024-03-07,cancelled,refunded,2730.61,ADDR-00223,PM-01114
ORD-000281,CUST-0619,2024-01-18,processing,refunded,2209.59,ADDR-00863,PM-00989
ORD-000282,CUST-0043,2023-10-16,returned,refunded,7395.91,ADDR-01149,PM-00102
ORD-000283,CUST-0232,2025-06-26,shipped,refunded,4794.96,ADDR-00610,PM-00673
ORD-000284,CUST-0603,2024-09-19,processing,refunded,1714.75,ADDR-00076,PM-00662
ORD-000285,CUST-0934,2023-09-14,returned,paid,3302.27,ADDR-01157,PM-00997
ORD-000286,CUST-0118,2024-12-23,returned,refunded,2427.26,ADDR-01399,PM-00109
ORD-000287,CUST-0103,2023-07-12,cancelled,pending,4602.41,ADDR-01187,PM-00802
ORD-000288,CUST-0121,2025-09-10,delivered,pending,4621.48,ADDR-00138,PM-00510
ORD-000289,CUST-0412,2025-03-25,processing,pending,432.66,ADDR-00357,PM-00232
ORD-000290,CUST-0523,2024-04-11,delivered,failed,1296.35,ADDR-01054,PM-00022
ORD-000291,CUST-0792,2024-01-12,returned,pending,277.27,ADDR-01032,PM-00611
ORD-000292,CUST-0005,2024-02-23,delivered,refunded,5128.96,ADDR-00491,PM-00669
ORD-000293,CUST-0707,2024-12-23,delivered,paid,1961.28,ADDR-00054,PM-00334
ORD-000294,CUST-0557,2023-09-08,shipped,paid,5506.21,ADDR-01171,PM-00677
ORD-000295,CUST-0580,2024-08-15,processing,pending,1610.04,ADDR-00695,PM-00930
ORD-000296,CUST-0498,2024-12-17,processing,pending,828.00,ADDR-00067,PM-00708
