product_id,product_name,category_id,price,cost,stock_quantity,created_at
PROD-0053,Kids Puzzle Model 421,CAT-016,322.41,150.06,330,2023-11-04
PROD-0054,Bluetooth Speaker Model 423,CAT-049,1123.20,454.51,318,2024-07-30
PROD-0055,Men's T-Shirt Model 175,CAT-035,259.72,138.33,477,2023-12-24
PROD-0056,Board Game Model 170,CAT-016,446.58,213.86,426,2024-07-10
PROD-0057,Kids Puzzle Model 409,CAT-040,1180.70,948.75,270,2023-01-09
PROD-0058,Action Camera Model 936,CAT-036,362.76,265.43,480,2025-06-18
PROD-0059,Vitamins Supplement Model 370,CAT-008,1068.21,823.81,79,2023-10-06
PROD-0060,Ergonomic Chair Model 719,CAT-014,862.55,432.83,324,2025-05-23
PROD-0061,Facial Moisturizer Model 617,CAT-032,305.09,260.57,26,2023-04-05
PROD-0062,Gaming Mouse Model 533,CAT-018,57.68,32.69,66,2024-10-14
PROD-0063,Facial Moisturizer Model 265,CAT-048,532.99,401.25,287,2023-01-10
PROD-0064,Men's T-Shirt Model 177,CAT-045,1085.19,730.11,427,2024-01-14
PROD-0065,Air Purifier Model 665,CAT-010,518.60,218.29,186,2025-07-09
PROD-0066,Office Desk Model 915,CAT-003,1079.21,545.04,127,2024-11-13
PROD-0067,Men's T-Shirt Model 462,CAT-050,674.06,564.43,498,2024-09-27
PROD-0068,Pet Bed Model 258,CAT-016,1038.20,922.03,415,2023-07-01
PROD-0069,Board Game Model 522,CAT-002,219.34,189.12,400,2025-08-11
PROD-0070,Smartwatch Model 921,CAT-043,1037.56,835.62,136,2023-06-13
PROD-0071,Drill Machine Model 818,CAT-007,462.14,193.80,240,2023-08-16
PROD-0072,Car Floor Mats Model 936,CAT-030,422.84,342.61,446,2023-08-22
PROD-0073,Bestselling Novel Model 124,CAT-043,235.79,133.02,442,2023-03-13
PROD-0074,Baby Stroller Model 385,CAT-023,771.57,462.82,431,2024-07-03
PROD-0075,LED Desk Lamp Model 128,CAT-008,1053.06,558.76,297,2025-09-12
PROD-0076,Facial Moisturizer Model 139,CAT-007,717.90,411.24,402,2023-11-18
PROD-0077,Smartwatch Model 720,CAT-033,143.20,121.68,97,2023-09-18
PROD-0078,Ceramic Dinner Set Model 825,CAT-028,7.02,6.06,275,2024-12-04
PROD-0079,Pet Bed Model 859,CAT-048,806.40,469.41,35,2025-08-29
PROD-0080,Action Camera Model 438,CAT-040,380.13,313.23,368,2025-07-10
PROD-0081,Ergonomic Chair Model 619,CAT-020,801.94,451.57,356,2023-10-30
PROD-0082,Electric Kettle Model 230,CAT-013,507.43,441.56,346,2025-02-05
PROD-0083,Board Game Model 278,CAT-040,685.08,413.13,426,2023-01-01
PROD-0084,Ergonomic Chair Model 393,CAT-014,518.72,357.91,335,2023-11-26
PROD-0085,Bluetooth Speaker Model 552,CAT-029,812.37,532.58,406,2025-07-11
PROD-0086,Drill Machine Model 853,CAT-011,792.33,429.36,339,2024-10-10
PROD-0087,Hair Dryer Model 443,CAT-006,983.02,762.40,344,2023-11-14
PROD-0088,Bestselling Novel Model 925,CAT-013,181.09,76.62,243,2024-09-17
PROD-0089,Protein Powder Model 886,CAT-005,549.22,463.03,294,2023-07-19
PROD-0090,Kids Puzzle Model 813,CAT-025,595.78,310.99,335,2024-12-05
PROD-0091,Wireless Headphones Model 868,CAT-050,1063.13,839.03,112,2023-06-30
PROD-0092,Drill Machine Model 812,CAT-034,560.14,380.17,469,2025-05-18
PROD-0093,Men's T-Shirt Model 567,CAT-009,962.69,706.41,286,2024-09-01
PROD-0094,LED Desk Lamp Model 873,CAT-029,737.12,559.94,258,2024-03-12
PROD-0095,Garden Hose Model 661,CAT-029,1077.16,831.38,243,2024-04-05
PROD-0096,Facial Moisturizer Model 869,CAT-016,1008.64,543.31,398,2024-06-17
PROD-0097,Backpack Model 741,CAT-016,333.14,146.16,146,2023-08-29
PROD-0098,Facial Moisturizer Model 443,CAT-021,1072.17,472.06,77,2023-08-25
PROD-0099,Running Shoes Model 810,CAT-010,849.17,366.94,208,2023-12-05
PROD-0100,Electric Kettle Model 577,CAT-027,79.41,64.83,199,2025-07-15
PROD-0101,Baby Stroller Model 698,CAT-045,28.34,23.81,294,2024-01-25
PROD-0102,Backpack Model 106,CAT-023,361.84,215.29,456,2025-09-03
PROD-0103,Garden Hose Model 529,CAT-035,898.28,604.60,308,2025-07-08
PROD-0104,Bestselling Novel Model 599,CAT-015,331.16,212.88,199,2023-12-11
PROD-0105,Action Camera Model 795,CAT-026,870.40,713.95,470,2023-05-11
PROD-0106,Hair Dryer Model 646,CAT-002,1088.78,757.73,339,2023-01-28
PROD-0107,Yoga Mat Model 758,CAT-028,167.16,105.45,25,2023-09-24
PROD-0108,Running Shoes Model 435,CAT-014,548.37,311.89,450,2024-01-24
PROD-0109,Facial Moisturizer Model 870,CAT-027,306.46,135.13,9,2025-02-06
PROD-0110,Electric Kettle Model 153,CAT-023,272.95,118.54,490,2024-10-29
PROD-0111,Ceramic Dinner Set Model 872,CAT-002,1139.79,569.53,10,2024-09-28
PROD-0112,Vitamins Supplement Model 344,CAT-009,570.91,261.02,485,2023-08-12
PROD-0113,Bluetooth Speaker Model 816,CAT-017,921.44,445.88,310,2025-09-13
PROD-0114,Pet Bed Model 835,CAT-008,934.46,450.30,159,2023-04-21
PROD-0115,Air Purifier Model 126,CAT-020,693.08,591.90,192,2024-02-11
PROD-0116,Kids Puzzle Model 303,CAT-005,712.56,580.94,124,2023-04-15
PROD-0117,Kids Puzzle Model 891,CAT-020,1021.10,714.98,61,2025-03-26
PROD-0118,Air Purifier Model 901,CAT-003,419.91,257.90,189,2023-03-12
PROD-0119,4K Monitor Model 763,CAT-022,20.12,12.27,250,2023-04-19
PROD-0120,Smartwatch Model 470,CAT-041,1070.43,674.23,78,2024-03-21
PROD-0121,Building Blocks Set Model 851,CAT-034,1158.74,619.97,413,2025-07-30
PROD-0122,Electric Kettle Model 893,CAT-031,560.52,455.63,303,2023-10-02
PROD-0123,LED Desk Lamp Model 972,CAT-016,997.72,442.32,451,2024-04-06
PROD-0124,Bestselling Novel Model 868,CAT-030,685.97,503.57,172,2023-01-30
PROD-0125,Backpack Model 971,CAT-021,222.30,112.50,408,2023-09-22
PROD-0126,LED Desk Lamp Model 386,CAT-039,842.91,453.60,5,2024-06-13
PROD-0127,Car Floor Mats Model 187,CAT-016,865.49,557.63,388,2023-09-04
PROD-0128,Kids Puzzle Model 587,CAT-042,855.65,534.00,8,2023-04-06
PROD-0129,Ergonomic Chair Model 326,CAT-026,831.69,460.01,297,2024-01-13
PROD-0130,Backpack Model 666,CAT-034,415.79,373.51,281,2023-12-05
PROD-0131,Stainless Cookware Model 819,CAT-030,328.75,172.82,61,2025-01-08
PROD-0132,Car Floor Mats Model 423,CAT-008,892.74,781.54,353,2023-07-09
PROD-0133,Car Floor Mats Model 321,CAT-048,583.62,444.89,500,2025-02-17
PROD-0134,4K Monitor Model 711,CAT-019,1176.71,960.57,151,2023-08-21
PROD-0135,Stainless Cookware Model 283,CAT-020,21.91,14.62,140,2023-02-16
PROD-0136,Ceramic Dinner Set Model 666,CAT-019,838.41,388.30,444,2025-02-09
PROD-0137,Backpack Model 205,CAT-001,691.01,438.58,225,2023-12-15
PROD-0138,Building Blocks Set Model 152,CAT-017,1129.57,721.64,420,2023-03-08
PROD-0139,Running Shoes Model 603,CAT-005,694.54,516.20,77,2023-06-02
PROD-0140,Drill Machine Model 676,CAT-020,106.79,55.97,285,2025-02-21
PROD-0141,Smartwatch Model 720,CAT-039,949.94,487.17,267,2024-01-25
PROD-0142,Bluetooth Speaker Model 553,CAT-020,1032.90,924.46,156,2024-08-05
PROD-0143,Hair Dryer Model 161,CAT-040,1152.33,518.11,390,2023-08-01
PROD-0144,Gaming Mouse Model 316,CAT-017,794.21,380.05,88,2024-07-19
PROD-0145,Yoga Mat Model 260,CAT-001,493.18,367.26,240,2023-10-26
PROD-0146,Ceramic Dinner Set Model 337,CAT-019,849.81,638.63,232,2023-03-14
PROD-0147,Action Camera Model 339,CAT-017,946.45,674.37,338,2025-04-03
PROD-0148,Office Desk Model 302,CAT-028,142.16,72.84,76,2025-07-19
PROD-0149,Facial Moisturizer Model 946,CAT-010,90.33,43.63,157,2024-09-01
PROD-0150,Pet Bed Model 944,CAT-037,1105.83,685.15,239,2024-12-06
PROD-0151,Ergonomic Chair Model 816,CAT-026,1131.50,735.74,252,2024-03-24
PROD-0152,Yoga Mat Model 712,CAT-003,1067.86,819.33,309,2023-09-14
PROD-0153,Wireless Headphones Model 193,CAT-015,1154.48,944.34,294,2024-08-24
PROD-0154,Wireless Headphones Model 883,CAT-044,986.60,678.90,390,2025-02-13
PROD-0155,Building Blocks Set Model 581,CAT-034,783.55,672.31,92,2024-08-22
PROD-0156,Smartwatch Model 750,CAT-032,1163.02,738.52,209,2023-12-08
PROD-0157,LED Desk Lamp Model 786,CAT-007,1029.99,581.84,355,2024-05-22
PROD-0158,Ergonomic Chair Model 778,CAT-026,977.21,659.66,232,2023-04-01
PROD-0159,LED Desk Lamp Model 358,CAT-021,143.53,112.85,442,2024-06-10
PROD-0160,Garden Hose Model 101,CAT-043,1043.89,658.68,27,2023-07-12
PROD-0161,4K Monitor Model 470,CAT-040,908.95,647.81,389,2023-02-22
PROD-0162,Car Floor Mats Model 373,CAT-036,161.56,87.89,450,2024-12-16
PROD-0163,Backpack Model 224,CAT-002,1167.91,822.72,122,2024-12-27
PROD-0164,Building Blocks Set Model 418,CAT-036,21.34,12.89,115,2025-05-11
PROD-0165,Office Desk Model 216,CAT-030,1136.74,822.83,78,2024-05-25
PROD-0166,Office Desk Model 833,CAT-019,613.10,329.06,427,2024-05-09
PROD-0167,Backpack Model 349,CAT-030,663.76,392.81,471,2024-09-05
PROD-0168,4K Monitor Model 864,CAT-009,1037.51,558.31,404,2025-05-24
PROD-0169,Smartwatch Model 448,CAT-033,324.27,130.12,371,2023-11-02
PROD-0170,Garden Hose Model 701,CAT-038,1198.69,772.94,76,2024-04-02
PROD-0171,Electric Kettle Model 595,CAT-023,402.27,314.35,193,2024-04-11
PROD-0172,Office Desk Model 429,CAT-013,1177.03,611.35,196,2023-08-28
PROD-0173,Protein Powder Model 894,CAT-027,57.16,44.15,361,2025-07-24
PROD-0174,Drill Machine Model 490,CAT-025,1186.15,944.41,333,2025-10-01
PROD-0175,Vitamins Supplement Model 607,CAT-003,155.86,137.57,169,2025-06-09
PROD-0176,Men's T-Shirt Model 995,CAT-029,124.16,106.18,7,2025-01-09
PROD-0177,Vitamins Supplement Model 519,CAT-042,1164.10,509.19,400,2025-09-19
PROD-0178,Facial Moisturizer Model 446,CAT-040,832.78,603.70,436,2023-12-03
PROD-0179,Protein Powder Model 790,CAT-035,459.11,256.34,367,2025-06-27
PROD-0180,Baby Stroller Model 599,CAT-035,47.90,20.80,323,2024-12-01
PROD-0181,Office Desk Model 394,CAT-015,897.39,553.68,50,2025-02-17
PROD-0182,Gaming Mouse Model 820,CAT-007,535.20,399.79,462,2023-01-30
PROD-0183,Ceramic Dinner Set Model 432,CAT-004,355.57,208.87,74,2023-09-08
PROD-0184,4K Monitor Model 521,CAT-037,819.75,401.70,89,2023-03-22
PROD-0185,Hair Dryer Model 991,CAT-025,745.55,388.00,467,2024-08-20
PROD-0186,Vitamins Supplement Model 337,CAT-030,767.30,483.23,341,2023-01-10
PROD-0187,Board Game Model 923,CAT-030,1081.95,799.35,80,2023-03-17
PROD-0188,Bluetooth Speaker Model 453,CAT-038,362.49,319.36,353,2023-09-14
PROD-0189,Bluetooth Speaker Model 965,CAT-020,243.06,143.98,247,2023-04-20
PROD-0190,Bestselling Novel Model 490,CAT-037,433.96,237.78,358,2023-10-30
PROD-0191,Wireless Headphones Model 949,CAT-043,477.99,193.13,442,2024-12-03
PROD-0192,Baby Stroller Model 862,CAT-004,1093.19,844.58,426,2025-07-14
PROD-0193,Board Game Model 393,CAT-050,959.64,675.14,180,2023-08-13
PROD-0194,Gaming Mouse Model 294,CAT-040,304.50,236.84,392,2024-11-06
PROD-0195,Action Camera Model 958,CAT-009,755.76,643.68,330,2023-02-10
PROD-0196,Ergonomic Chair Model 907,CAT-029,44.87,26.13,67,2023-04-03
PROD-0197,Office Desk Model 402,CAT-021,898.24,438.18,67,2025-03-16
PROD-0198,Electric Kettle Model 997,CAT-024,639.37,547.78,425,2023-06-18
PROD-0199,Facial Moisturizer Model 944,CAT-031,1161.02,635.74,445,2023-12-13
PROD-0200,Drill Machine Model 217,CAT-030,1155.66,543.60,494,2023-08-20
PROD-0201,Protein Powder Model 792,CAT-047,810.92,485.50,433,2025-04-03
PROD-0202,Electric Kettle Model 474,CAT-006,949.86,386.55,274,2023-05-07
PROD-0203,Bluetooth Speaker Model 477,CAT-044,900.07,478.01,195,2025-04-22
PROD-0204,Gaming Mouse Model 480,CAT-007,811.43,515.86,317,2025-06-24
PROD-0205,Electric Kettle Model 435,CAT-040,269.53,116.33,421,2024-04-20
PROD-0206,Office Desk Model 817,CAT-020,780.84,357.89,23,2025-08-26
PROD-0207,Ceramic Dinner Set Model 411,CAT-032,143.76,74.38,275,2023-05-19
PROD-0208,Running Shoes Model 564,CAT-024,806.23,622.06,484,2024-07-07
PROD-0209,Smartwatch Model 701,CAT-048,873.29,735.93,335,2023-04-12
PROD-0210,Garden Hose Model 601,CAT-040,492.70,431.49,16,2024-12-07
PROD-0211,Stainless Cookware Model 322,CAT-029,536.41,277.89,185,2023-04-12
PROD-0212,Action Camera Model 476,CAT-035,1082.53,782.03,31,2024-02-12
PROD-0213,Facial Moisturizer Model 294,CAT-008,1139.07,925.03,46,2024-11-09
PROD-0214,Car Floor Mats Model 757,CAT-041,718.59,295.11,402,2023-12-08
PROD-0215,Bestselling Novel Model 228,CAT-037,250.22,203.91,283,2023-08-01
PROD-0216,Air Purifier Model 321,CAT-015,397.63,188.39,461,2024-09-02
PROD-0217,Wireless Headphones Model 383,CAT-010,1185.10,794.14,408,2023-06-28
PROD-0218,Men's T-Shirt Model 776,CAT-002,162.50,94.11,403,2023-09-01
PROD-0219,Air Purifier Model 431,CAT-002,213.22,90.87,379,2024-03-07
PROD-0220,4K Monitor Model 216,CAT-048,80.95,50.52,185,2024-06-09
PROD-0221,Air Purifier Model 211,CAT-029,607.09,529.81,22,2025-01-14
PROD-0222,Drill Machine Model 987,CAT-043,628.13,395.11,493,2023-02-01
PROD-0223,Ceramic Dinner Set Model 590,CAT-026,514.40,233.53,364,2025-07-20
PROD-0224,Bluetooth Speaker Model 175,CAT-006,389.92,184.89,64,2023-10-09
PROD-0225,Hair Dryer Model 748,CAT-038,660.29,371.47,305,2024-06-27
PROD-0226,Ergonomic Chair Model 564,CAT-033,728.49,327.52,359,2023-04-28
PROD-0227,Protein Powder Model 770,CAT-042,1053.86,712.06,443,2023-08-09
PROD-0228,Smartwatch Model 562,CAT-015,499.51,406.46,204,2024-03-01
PROD-0229,Pet Bed Model 197,CAT-021,514.98,377.25,191,2025-09-03
PROD-0230,Vitamins Supplement Model 803,CAT-031,85.22,69.53,47,2024-03-18
PROD-0231,Men's T-Shirt Model 862,CAT-048,450.31,209.42,30,2024-08-23
PROD-0232,Electric Kettle Model 675,CAT-022,805.67,487.76,447,2024-11-12
PROD-0233,Baby Stroller Model 533,CAT-047,66.48,36.15,159,2023-12-27
PROD-0234,Men's T-Shirt Model 691,CAT-033,259.22,188.81,114,2025-05-17
PROD-0235,Men's T-Shirt Model 458,CAT-036,444.24,347.09,293,2023-08-20
PROD-0236,Drill Machine Model 539,CAT-036,1169.58,946.44,314,2024-11-22
PROD-0237,Gaming Mouse Model 670,CAT-002,732.75,534.11,355,2023-10-01
PROD-0238,Wireless Headphones Model 284,CAT-018,844.73,468.40,173,2023-12-26
PROD-0239,Wireless Headphones Model 285,CAT-010,681.75,409.32,72,2025-01-28
PROD-0240,Gaming Mouse Model 131,CAT-006,896.60,455.08,214,2024-04-09
PROD-0241,LED Desk Lamp Model 261,CAT-024,377.41,212.18,482,2024-08-04
PROD-0242,Hair Dryer Model 186,CAT-004,190.92,148.39,25,2024-11-21
PROD-0243,Yoga Mat Model 378,CAT-029,796.02,511.71,226,2024-02-29
PROD-0244,Facial Moisturizer Model 320,CAT-049,617.25,353.43,56,2023-10-18
PROD-0245,Action Camera Model 794,CAT-038,586.53,430.26,23,2023-08-14
PROD-0246,Running Shoes Model 713,CAT-004,14.19,7.81,108,2025-02-24
PROD-0247,Vitamins Supplement Model 882,CAT-017,350.89,161.41,254,2025-02-03
PROD-0248,Smartwatch Model 279,CAT-009,459.35,345.36,256,2024-07-26
PROD-0249,Garden Hose Model 784,CAT-023,91.13,75.72,21,2024-03-22
PROD-0250,Wireless Headphones Model 570,CAT-005,1035.22,712.11,293,2024-02-19
PROD-0251,Kids Puzzle Model 755,CAT-027,350.97,211.47,494,2023-11-29
PROD-0252,Building Blocks Set Model 920,CAT-040,554.82,413.23,185,2023-04-01
PROD-0253,Smartwatch Model 964,CAT-007,295.76,205.39,268,2023-03-22
PROD-0254,Running Shoes Model 991,CAT-020,896.24,457.79,398,2023-06-22
PROD-0255,Yoga Mat Model 622,CAT-041,141.26,92.52,463,2025-03-05
PROD-0256,Stainless Cookware Model 459,CAT-047,1150.08,831.19,75,2023-08-30
PROD-0257,Men's T-Shirt Model 249,CAT-017,240.74,168.81,389,2025-02-16
PROD-0258,Gaming Mouse Model 177,CAT-012,1141.79,815.21,237,2025-02-11
PROD-0259,Air Purifier Model 878,CAT-038,541.44,466.76,289,2024-10-20
PROD-0260,Gaming Mouse Model 739,CAT-021,1037.78,740.57,77,2024-03-26
PROD-0261,Yoga Mat Model 580,CAT-029,759.51,606.21,302,2023-02-27
PROD-0262,Stainless Cookware Model 619,CAT-005,375.94,235.32,29,2024-01-13
PROD-0263,Garden Hose Model 393,CAT-005,775.38,689.07,46,2024-09-21
PROD-0264,Hair Dryer Model 619,CAT-025,557.94,377.81,405,2025-01-26
PROD-0265,Board Game Model 142,CAT-029,1091.31,748.45,96,2023-11-26
PROD-0266,Hair Dryer Model 587,CAT-033,185.28,79.84,52,2025-04-10
PROD-0267,Board Game Model 957,CAT-022,1178.95,521.29,330,2023-06-26
PROD-0268,Ceramic Dinner Set Model 353,CAT-046,528.12,327.28,267,2024-09-16
PROD-0269,Building Blocks Set Model 472,CAT-024,1101.93,654.22,396,2023-12-13
PROD-0270,Action Camera Model 712,CAT-004,948.13,686.12,33,2023-12-04
PROD-0271,Men's T-Shirt Model 671,CAT-044,466.94,245.61,436,2024-11-03
PROD-0272,Office Desk Model 717,CAT-010,403.37,278.88,72,2025-07-27
PROD-0273,Stainless Cookware Model 417,CAT-042,839.68,500.43,304,2024-12-26
PROD-0274,Yoga Mat Model 417,CAT-036,455.13,362.21,416,2023-05-11
PROD-0275,Action Camera Model 819,CAT-048,1196.61,1024.57,47,2024-10-23
PROD-0276,Action Camera Model 533,CAT-033,437.38,254.25,92,2025-08-31
PROD-0277,Car Floor Mats Model 449,CAT-050,586.09,300.82,70,2023-06-08
PROD-0278,Yoga Mat Model 402,CAT-007,611.69,409.76,378,2025-06-23
PROD-0279,4K Monitor Model 138,CAT-043,407.43,319.08,67,2024-09-03
PROD-0280,Running Shoes Model 257,CAT-011,221.11,165.04,319,2025-04-08
PROD-0281,Board Game Model 269,CAT-047,528.02,319.68,346,2025-01-06
PROD-0282,Bestselling Novel Model 554,CAT-040,345.49,267.50,229,2023-08-28
PROD-0283,Electric Kettle Model 344,CAT-020,1158.89,918.06,462,2025-05-05
PROD-0284,Car Floor Mats Model 476,CAT-044,1136.82,1014.29,236,2025-02-26
PROD-0285,Ergonomic Chair Model 896,CAT-025,605.97,369.24,82,2025-04-16
PROD-0286,Car Floor Mats Model 920,CAT-039,170.39,89.46,328,2024-05-07
PROD-0287,Protein Powder Model 480,CAT-036,1121.48,847.50,264,2025-05-21
PROD-0288,Men's T-Shirt Model 391,CAT-006,916.92,491.83,463,2024-06-09
PROD-0289,Vitamins Supplement Model 950,CAT-028,114.60,98.01,418,2024-04-06
PROD-0290,Board Game Model 457,CAT-002,500.80,299.59,191,2023-08-30
PROD-0291,Running Shoes Model 183,CAT-024,273.32,152.88,50,2025-05-09
PROD-0292,Kids Puzzle Model 765,CAT-022,950.70,445.69,146,2025-07-28
PROD-0293,Garden Hose Model 583,CAT-045,998.18,778.00,240,2024-04-04
PROD-0294,Hair Dryer Model 105,CAT-006,27.71,14.07,76,2024-07-15
PROD-0295,Pet Bed Model 723,CAT-034,510.79,402.55,121,2023-11-05
PROD-0296,Men's T-Shirt Model 148,CAT-016,506.69,403.81,234,2023-03-06
PROD-0297,Men's T-Shirt Model 956,CAT-032,718.10,293.14,263,2024-08-11
PROD-0298,Bestselling Novel Model 835,CAT-010,353.07,141.50,180,2023-09-04
PROD-0299,Air Purifier Model 526,CAT-012,798.92,353.77,499,2024-01-05
PROD-0300,Yoga Mat Model 638,CAT-035,611.26,546.57,283,2023-01-21
PROD-0301,Running Shoes Model 994,CAT-031,57.02,33.84,191,2023-09-17
PROD-0302,Pet Bed Model 116,CAT-023,947.28,542.22,375,2024-11-03
PROD-0303,Gaming Mouse Model 206,CAT-050,700.37,545.13,68,2023-02-15
PROD-0304,Stainless Cookware Model 659,CAT-022,977.14,476.40,398,2024-12-02
PROD-0305,Bluetooth Speaker Model 812,CAT-031,759.92,612.30,32,2025-01-03
PROD-0306,Baby Stroller Model 568,CAT-003,355.66,150.05,102,2025-06-26
PROD-0307,Ceramic Dinner Set Model 423,CAT-020,620.88,555.42,278,2024-04-29
PROD-0308,Facial Moisturizer Model 137,CAT-049,778.05,422.52,441,2025-03-10
PROD-0309,Ceramic Dinner Set Model 986,CAT-042,401.65,185.66,188,2024-03-23
PROD-0310,Board Game Model 509,CAT-048,530.49,465.90,173,2025-09-24
PROD-0311,Building Blocks Set Model 608,CAT-045,599.54,516.90,265,2023-10-01
PROD-0312,Drill Machine Model 184,CAT-047,512.28,315.21,421,2023-07-04
PROD-0313,Electric Kettle Model 400,CAT-021,127.60,71.96,151,2023-11-10
PROD-0314,Bluetooth Speaker Model 717,CAT-046,514.21,383.03,179,2024-04-02
PROD-0315,Ceramic Dinner Set Model 844,CAT-023,739.75,456.77,327,2025-09-30
PROD-0316,Drill Machine Model 158,CAT-005,807.06,486.74,262,2025-03-31
PROD-0317,Pet Bed Model 795,CAT-011,1143.58,539.07,311,2024-11-25
PROD-0318,Drill Machine Model 548,CAT-003,155.84,80.72,330,2024-01-11
PROD-0319,Stainless Cookware Model 492,CAT-037,43.70,20.83,230,2025-08-29
PROD-0320,Stainless Cookware Model 480,CAT-029,916.89,629.87,271,2024-01-11
PROD-0321,Running Shoes Model 421,CAT-042,338.03,297.55,13,2025-01-23
PROD-0322,Building Blocks Set Model 611,CAT-034,467.45,318.26,134,2025-03-04
PROD-0323,Facial Moisturizer Model 820,CAT-029,261.41,184.54,355,2025-07-27
PROD-0324,Backpack Model 304,CAT-008,167.20,73.07,88,2025-07-09
PROD-0325,Kids Puzzle Model 555,CAT-006,973.56,860.41,163,2024-11-14
PROD-0326,Stainless Cookware Model 826,CAT-005,662.25,361.05,153,2025-05-21
PROD-0327,Building Blocks Set Model 828,CAT-046,1113.15,800.19,406,2024-01-06
PROD-0328,4K Monitor Model 329,CAT-008,1182.23,941.09,121,2025-03-20
