order_item_id,order_id,product_id,quantity,subtotal
OI-0000081,ORD-000041,PROD-0131,1,328.75
OI-0000082,ORD-000041,PROD-0369,4,680.04
OI-0000083,ORD-000042,PROD-0191,2,955.98
OI-0000084,ORD-000043,PROD-0500,5,3694.30
OI-0000085,ORD-000043,PROD-0340,4,1285.04
OI-0000086,ORD-000043,PROD-0182,5,2676.00
OI-0000087,ORD-000044,PROD-0118,3,1259.73
OI-0000088,ORD-000044,PROD-0336,5,1522.35
OI-0000089,ORD-000045,PROD-0425,3,1364.61
OI-0000090,ORD-000045,PROD-0266,3,555.84
OI-0000091,ORD-000045,PROD-0124,2,1371.94
OI-0000092,ORD-000045,PROD-0016,4,4209.04
OI-0000093,ORD-000046,PROD-0334,4,4373.20
OI-0000094,ORD-000046,PROD-0395,5,3447.95
OI-0000095,ORD-000047,PROD-0354,3,1314.66
OI-0000096,ORD-000047,PROD-0444,5,63.15
OI-0000097,ORD-000047,PROD-0017,3,527.19
OI-0000098,ORD-000047,PROD-0013,3,2628.93
OI-0000099,ORD-000048,PROD-0085,1,812.37
OI-0000100,ORD-000049,PROD-0229,2,1029.96
OI-0000101,ORD-000049,PROD-0469,4,2682.40
OI-0000102,ORD-000050,PROD-0497,1,779.32
OI-0000103,ORD-000050,PROD-0124,5,3429.85
OI-0000104,ORD-000051,PROD-0020,2,1903.06
OI-0000105,ORD-000052,PROD-0049,3,579.39
OI-0000106,ORD-000052,PROD-0108,3,1645.11
OI-0000107,ORD-000052,PROD-0117,1,1021.10
OI-0000108,ORD-000052,PROD-0072,4,1691.36
OI-0000109,ORD-000053,PROD-0409,1,348.07
OI-0000110,ORD-000054,PROD-0095,4,4308.64
OI-0000111,ORD-000055,PROD-0027,5,1961.85
OI-0000112,ORD-000056,PROD-0042,3,2911.77
OI-0000113,ORD-000057,PROD-0041,4,2036.60
OI-0000114,ORD-000058,PROD-0358,1,857.74
OI-0000115,ORD-000058,PROD-0473,4,2377.12
OI-0000116,ORD-000059,PROD-0129,4,3326.76
OI-0000117,ORD-000060,PROD-0369,2,340.02
OI-0000118,ORD-000060,PROD-0390,4,3118.80
OI-0000119,ORD-000060,PROD-0132,1,892.74
OI-0000120,ORD-000060,PROD-0089,4,2196.88
OI-0000121,ORD-000061,PROD-0319,1,43.70
OI-0000122,ORD-000062,PROD-0121,5,5793.70
OI-0000123,ORD-000062,PROD-0307,3,1862.64
OI-0000124,ORD-000063,PROD-0169,5,1621.35
OI-0000125,ORD-000064,PROD-0052,2,1259.46
OI-0000126,ORD-000064,PROD-0488,2,2195.42
OI-0000127,ORD-000065,PROD-0480,1,394.43
OI-0000128,ORD-000066,PROD-0188,1,362.49
OI-0000129,ORD-000067,PROD-0242,3,572.76
OI-0000130,ORD-000068,PROD-0170,3,3596.07
OI-0000131,ORD-000069,PROD-0104,3,993.48
OI-0000132,ORD-000069,PROD-0128,4,3422.60
OI-0000133,ORD-000069,PROD-0453,5,2278.60
OI-0000134,ORD-000070,PROD-0300,4,2445.04
OI-0000135,ORD-000070,PROD-0248,1,459.35
OI-0000136,ORD-000071,PROD-0345,4,645.08
OI-0000137,ORD-000072,PROD-0261,1,759.51
OI-0000138,ORD-000072,PROD-0432,4,1032.44
OI-0000139,ORD-000072,PROD-0073,5,1178.95
OI-0000140,ORD-000073,PROD-0304,5,4885.70
OI-0000141,ORD-000074,PROD-0223,4,2057.60
OI-0000142,ORD-000074,PROD-0059,1,1068.21
OI-0000143,ORD-000075,PROD-0178,5,4163.90
OI-0000144,ORD-000075,PROD-0380,5,3836.70
OI-0000145,ORD-000076,PROD-0006,2,2297.74
OI-0000146,ORD-000077,PROD-0018,2,1407.16
OI-0000147,ORD-000077,PROD-0382,3,2355.63
OI-0000148,ORD-000078,PROD-0204,1,811.43
OI-0000149,ORD-000079,PROD-0351,4,2385.60
OI-0000150,ORD-000080,PROD-0050,1,86.21
OI-0000151,ORD-000080,PROD-0039,2,1619.34
OI-0000152,ORD-000081,PROD-0161,1,908.95
OI-0000153,ORD-000081,PROD-0125,2,444.60
OI-0000154,ORD-000081,PROD-0144,4,3176.84
OI-0000155,ORD-000082,PROD-0337,5,3696.20
OI-0000156,ORD-000083,PROD-0040,4,3846.84
OI-0000157,ORD-000083,PROD-0268,1,528.12
OI-0000158,ORD-000084,PROD-0347,1,1037.68
OI-0000159,ORD-000084,PROD-0333,4,2655.24
OI-0000160,ORD-000085,PROD-0157,4,4119.96
OI-0000161,ORD-000085,PROD-0220,4,323.80
OI-0000162,ORD-000086,PROD-0052,1,629.73
OI-0000163,ORD-000086,PROD-0495,4,2510.92
OI-0000164,ORD-000087,PROD-0407,1,265.39
OI-0000165,ORD-000088,PROD-0004,5,3281.05
OI-0000166,ORD-000089,PROD-0156,3,3489.06
OI-0000167,ORD-000089,PROD-0133,3,1750.86
OI-0000168,ORD-000090,PROD-0059,5,5341.05
OI-0000169,ORD-000091,PROD-0416,1,43.50
OI-0000170,ORD-000091,PROD-0353,5,4589.05
OI-0000171,ORD-000092,PROD-0069,4,877.36
OI-0000172,ORD-000093,PROD-0107,4,668.64
OI-0000173,ORD-000094,PROD-0072,2,845.68
OI-0000174,ORD-000095,PROD-0201,4,3243.68
OI-0000175,ORD-000096,PROD-0235,4,1776.96
OI-0000176,ORD-000097,PROD-0117,1,1021.10
OI-0000177,ORD-000098,PROD-0431,3,2018.49
OI-0000178,ORD-000099,PROD-0475,1,714.60
OI-0000179,ORD-000099,PROD-0111,4,4559.16
OI-0000180,ORD-000099,PROD-0283,5,5794.45
OI-0000181,ORD-000100,PROD-0309,2,803.30
OI-0000182,ORD-000101,PROD-0075,5,5265.30
OI-0000183,ORD-000101,PROD-0059,2,2136.42
OI-0000184,ORD-000102,PROD-0136,1,838.41
OI-0000185,ORD-000103,PROD-0066,5,5396.05
OI-0000186,ORD-000104,PROD-0229,5,2574.90
OI-0000187,ORD-000104,PROD-0396,4,585.12
OI-0000188,ORD-000105,PROD-0374,5,4237.30
OI-0000189,ORD-000105,PROD-0336,3,913.41
OI-0000190,ORD-000106,PROD-0477,2,1039.18
OI-0000191,ORD-000107,PROD-0378,1,994.40
OI-0000192,ORD-000108,PROD-0324,3,501.60
OI-0000193,ORD-000109,PROD-0490,3,1203.78
OI-0000194,ORD-000109,PROD-0427,3,3484.50
OI-0000195,ORD-000110,PROD-0112,4,2283.64
OI-0000196,ORD-000110,PROD-0468,5,2175.50
OI-0000197,ORD-000111,PROD-0086,1,792.33
OI-0000198,ORD-000111,PROD-0059,2,2136.42
OI-0000199,ORD-000111,PROD-0330,1,1061.67
OI-0000200,ORD-000111,PROD-0256,1,1150.08
OI-0000201,ORD-000112,PROD-0354,2,876.44
OI-0000202,ORD-000113,PROD-0297,1,718.10
OI-0000203,ORD-000114,PROD-0308,3,2334.15
OI-0000204,ORD-000114,PROD-0384,3,2353.50
OI-0000205,ORD-000115,PROD-0421,2,1965.94
OI-0000206,ORD-000115,PROD-0349,5,2814.20
OI-0000207,ORD-000115,PROD-0470,5,581.05
OI-0000208,ORD-000116,PROD-0079,2,1612.80
OI-0000209,ORD-000116,PROD-0467,3,2666.67
OI-0000210,ORD-000117,PROD-0359,2,344.08
OI-0000211,ORD-000117,PROD-0166,5,3065.50
OI-0000212,ORD-000117,PROD-0451,1,680.18
OI-0000213,ORD-000118,PROD-0055,2,519.44
OI-0000214,ORD-000118,PROD-0362,2,271.96
OI-0000215,ORD-000118,PROD-0208,1,806.23
OI-0000216,ORD-000119,PROD-0107,5,835.80
OI-0000217,ORD-000120,PROD-0005,4,3647.08
OI-0000218,ORD-000120,PROD-0307,4,2483.52
OI-0000219,ORD-000121,PROD-0157,3,3089.97
OI-0000220,ORD-000121,PROD-0452,5,3931.05
OI-0000221,ORD-000122,PROD-0236,4,4678.32
OI-0000222,ORD-000122,PROD-0326,2,1324.50
OI-0000223,ORD-000123,PROD-0450,2,1958.36
OI-0000224,ORD-000124,PROD-0070,1,1037.56
OI-0000225,ORD-000125,PROD-0334,2,2186.60
OI-0000226,ORD-000126,PROD-0430,2,104.52
OI-0000227,ORD-000126,PROD-0416,1,43.50
OI-0000228,ORD-000126,PROD-0211,2,1072.82
OI-0000229,ORD-000127,PROD-0052,3,1889.19
OI-0000230,ORD-000127,PROD-0149,3,270.99
OI-0000231,ORD-000127,PROD-0087,3,2949.06
OI-0000232,ORD-000128,PROD-0144,2,1588.42
OI-0000233,ORD-000129,PROD-0458,1,23.71
OI-0000234,ORD-000130,PROD-0005,5,4558.85
OI-0000235,ORD-000130,PROD-0411,5,2269.50
OI-0000236,ORD-000130,PROD-0146,1,849.81
OI-0000237,ORD-000130,PROD-0159,4,574.12
OI-0000238,ORD-000131,PROD-0160,2,2087.78
OI-0000239,ORD-000132,PROD-0039,1,809.67
OI-0000240,ORD-000133,PROD-0296,5,2533.45
OI-0000241,ORD-000134,PROD-0222,5,3140.65
OI-0000242,ORD-000134,PROD-0340,4,1285.04
OI-0000243,ORD-000135,PROD-0048,5,389.20
OI-0000244,ORD-000135,PROD-0129,1,831.69
OI-0000245,ORD-000136,PROD-0407,2,530.78
OI-0000246,ORD-000136,PROD-0402,3,236.40
OI-0000247,ORD-000136,PROD-0065,3,1555.80
OI-0000248,ORD-000137,PROD-0263,2,1550.76
OI-0000249,ORD-000137,PROD-0139,4,2778.16
OI-0000250,ORD-000138,PROD-0190,1,433.96
OI-0000251,ORD-000139,PROD-0260,4,4151.12
OI-0000252,ORD-000139,PROD-0398,3,806.73
OI-0000253,ORD-000140,PROD-0176,1,124.16
OI-0000254,ORD-000140,PROD-0231,3,1350.93
OI-0000255,ORD-000141,PROD-0480,5,1972.15
OI-0000256,ORD-000141,PROD-0414,5,4321.60
OI-0000257,ORD-000142,PROD-0464,5,1388.15
OI-0000258,ORD-000143,PROD-0241,4,1509.64
OI-0000259,ORD-000143,PROD-0169,1,324.27
OI-0000260,ORD-000143,PROD-0133,4,2334.48
OI-0000261,ORD-000144,PROD-0282,5,1727.45
OI-0000262,ORD-000145,PROD-0265,4,4365.24
OI-0000263,ORD-000145,PROD-0221,4,2428.36
OI-0000264,ORD-000146,PROD-0235,1,444.24
OI-0000265,ORD-000146,PROD-0447,4,2656.84
OI-0000266,ORD-000147,PROD-0389,2,1128.56
OI-0000267,ORD-000148,PROD-0184,4,3279.00
OI-0000268,ORD-000149,PROD-0011,1,764.64
OI-0000269,ORD-000150,PROD-0497,3,2337.96
OI-0000270,ORD-000150,PROD-0313,4,510.40
OI-0000271,ORD-000151,PROD-0210,5,2463.50
OI-0000272,ORD-000151,PROD-0405,2,325.34
OI-0000273,ORD-000152,PROD-0242,5,954.60
OI-0000274,ORD-000153,PROD-0170,1,1198.69
OI-0000275,ORD-000153,PROD-0442,2,1316.24
OI-0000276,ORD-000153,PROD-0276,3,1312.14
OI-0000277,ORD-000154,PROD-0037,4,2279.36
OI-0000278,ORD-000154,PROD-0390,2,1559.40
OI-0000279,ORD-000154,PROD-0265,3,3273.93
OI-0000280,ORD-000154,PROD-0294,2,55.42
OI-0000281,ORD-000155,PROD-0263,3,2326.14
OI-0000282,ORD-000156,PROD-0296,4,2026.76
OI-0000283,ORD-000157,PROD-0258,3,3425.37
OI-0000284,ORD-000157,PROD-0076,4,2871.60
OI-0000285,ORD-000158,PROD-0076,1,717.90
OI-0000286,ORD-000159,PROD-0305,3,2279.76
OI-0000287,ORD-000160,PROD-0346,2,302.82
OI-0000288,ORD-000160,PROD-0101,2,56.68
OI-0000289,ORD-000161,PROD-0113,1,921.44
OI-0000290,ORD-000162,PROD-0212,2,2165.06
OI-0000291,ORD-000163,PROD-0462,5,1412.05
OI-0000292,ORD-000163,PROD-0469,5,3353.00
OI-0000293,ORD-000164,PROD-0333,2,1327.62
OI-0000294,ORD-000164,PROD-0482,3,3431.52
OI-0000295,ORD-000165,PROD-0404,3,2105.58
OI-0000296,ORD-000165,PROD-0450,1,979.18
OI-0000297,ORD-000166,PROD-0145,1,493.18
OI-0000298,ORD-000166,PROD-0136,2,1676.82
OI-0000299,ORD-000167,PROD-0228,3,1498.53
OI-0000300,ORD-000168,PROD-0302,1,947.28
OI-0000301,ORD-000169,PROD-0183,5,1777.85
OI-0000302,ORD-000170,PROD-0410,3,3470.16
OI-0000303,ORD-000170,PROD-0336,4,1217.88
OI-0000304,ORD-000170,PROD-0188,2,724.98
OI-0000305,ORD-000170,PROD-0176,2,248.32
OI-0000306,ORD-000171,PROD-0469,1,670.60
OI-0000307,ORD-000171,PROD-0442,1,658.12
OI-0000308,ORD-000172,PROD-0418,3,3141.87
OI-0000309,ORD-000172,PROD-0300,3,1833.78
OI-0000310,ORD-000173,PROD-0053,3,967.23
OI-0000311,ORD-000174,PROD-0374,3,2542.38
OI-0000312,ORD-000175,PROD-0144,4,3176.84
OI-0000313,ORD-000175,PROD-0376,5,5728.80
OI-0000314,ORD-000176,PROD-0365,2,1513.38
OI-0000315,ORD-000176,PROD-0189,4,972.24
OI-0000316,ORD-000177,PROD-0085,2,1624.74
OI-0000317,ORD-000178,PROD-0438,1,1122.04
OI-0000318,ORD-000178,PROD-0162,3,484.68
OI-0000319,ORD-000178,PROD-0430,4,209.04
OI-0000320,ORD-000179,PROD-0182,1,535.20
OI-0000321,ORD-000180,PROD-0231,2,900.62
OI-0000322,ORD-000181,PROD-0134,4,4706.84
OI-0000323,ORD-000182,PROD-0145,1,493.18
OI-0000324,ORD-000182,PROD-0009,2,1389.88
OI-0000325,ORD-000183,PROD-0043,5,5814.75
OI-0000326,ORD-000183,PROD-0469,4,2682.40
OI-0000327,ORD-000183,PROD-0212,3,3247.59
OI-0000328,ORD-000184,PROD-0105,3,2611.20
OI-0000329,ORD-000185,PROD-0137,4,2764.04
OI-0000330,ORD-000186,PROD-0187,2,2163.90
OI-0000331,ORD-000186,PROD-0356,1,475.71
OI-0000332,ORD-000187,PROD-0454,1,602.33
OI-0000333,ORD-000188,PROD-0499,1,757.56
OI-0000334,ORD-000188,PROD-0193,4,3838.56
OI-0000335,ORD-000188,PROD-0177,5,5820.50
OI-0000336,ORD-000189,PROD-0293,1,998.18
OI-0000337,ORD-000189,PROD-0281,1,528.02
OI-0000338,ORD-000190,PROD-0066,5,5396.05
OI-0000339,ORD-000191,PROD-0382,2,1570.42
OI-0000340,ORD-000191,PROD-0391,1,683.50
OI-0000341,ORD-000192,PROD-0242,2,381.84
OI-0000342,ORD-000193,PROD-0452,3,2358.63
OI-0000343,ORD-000194,PROD-0414,3,2592.96
OI-0000344,ORD-000195,PROD-0316,4,3228.24
OI-0000345,ORD-000195,PROD-0185,5,3727.75
OI-0000346,ORD-000195,PROD-0282,3,1036.47
OI-0000347,ORD-000196,PROD-0410,3,3470.16
OI-0000348,ORD-000197,PROD-0481,5,1218.80
OI-0000349,ORD-000198,PROD-0043,5,5814.75
OI-0000350,ORD-000199,PROD-0195,5,3778.80
OI-0000351,ORD-000199,PROD-0048,1,77.84
OI-0000352,ORD-000199,PROD-0031,5,2553.25
OI-0000353,ORD-000199,PROD-0326,2,1324.50
OI-0000354,ORD-000200,PROD-0258,2,2283.58
OI-0000355,ORD-000201,PROD-0401,4,2531.92
OI-0000356,ORD-000202,PROD-0139,4,2778.16
OI-0000357,ORD-000203,PROD-0072,3,1268.52
OI-0000358,ORD-000203,PROD-0253,2,591.52
OI-0000359,ORD-000204,PROD-0016,1,1052.26
OI-0000360,ORD-000205,PROD-0131,2,657.50
OI-0000361,ORD-000205,PROD-0285,4,2423.88
OI-0000362,ORD-000206,PROD-0368,1,735.72
OI-0000363,ORD-000207,PROD-0413,4,4698.32
OI-0000364,ORD-000208,PROD-0184,3,2459.25
OI-0000365,ORD-000209,PROD-0446,1,1121.01
OI-0000366,ORD-000210,PROD-0133,2,1167.24
OI-0000367,ORD-000210,PROD-0019,1,594.75
OI-0000368,ORD-000210,PROD-0462,4,1129.64
OI-0000369,ORD-000210,PROD-0169,3,972.81
OI-0000370,ORD-000211,PROD-0227,4,4215.44
OI-0000371,ORD-000211,PROD-0178,4,3331.12
OI-0000372,ORD-000211,PROD-0357,5,1214.35
OI-0000373,ORD-000212,PROD-0066,2,2158.42
OI-0000374,ORD-000213,PROD-0005,3,2735.31
OI-0000375,ORD-000213,PROD-0247,5,1754.45
OI-0000376,ORD-000214,PROD-0169,1,324.27
OI-0000377,ORD-000215,PROD-0487,5,4749.55
OI-0000378,ORD-000215,PROD-0149,3,270.99
OI-0000379,ORD-000216,PROD-0491,3,1845.78
OI-0000380,ORD-000216,PROD-0120,3,3211.29
OI-0000381,ORD-000217,PROD-0328,1,1182.23
OI-0000382,ORD-000218,PROD-0414,5,4321.60
OI-0000383,ORD-000219,PROD-0212,3,3247.59
OI-0000384,ORD-000219,PROD-0195,2,1511.52
OI-0000385,ORD-000220,PROD-0368,5,3678.60
OI-0000386,ORD-000220,PROD-0462,1,282.41
OI-0000387,ORD-000220,PROD-0390,1,779.70
OI-0000388,ORD-000221,PROD-0264,3,1673.82
OI-0000389,ORD-000221,PROD-0219,5,1066.10
OI-0000390,ORD-000221,PROD-0373,3,3390.24
OI-0000391,ORD-000222,PROD-0313,4,510.40
OI-0000392,ORD-000222,PROD-0143,3,3456.99
OI-0000393,ORD-000223,PROD-0244,3,1851.75
OI-0000394,ORD-000223,PROD-0076,1,717.90
OI-0000395,ORD-000223,PROD-0119,3,60.36
OI-0000396,ORD-000224,PROD-0082,5,2537.15
OI-0000397,ORD-000224,PROD-0359,5,860.20
OI-0000398,ORD-000225,PROD-0150,5,5529.15
OI-0000399,ORD-000225,PROD-0198,2,1278.74
OI-0000400,ORD-000226,PROD-0172,2,2354.06
OI-0000401,ORD-000227,PROD-0058,5,1813.80
OI-0000402,ORD-000228,PROD-0026,5,990.25
OI-0000403,ORD-000228,PROD-0490,2,802.52
OI-0000404,ORD-000228,PROD-0180,5,239.50
OI-0000405,ORD-000229,PROD-0378,3,2983.20
OI-0000406,ORD-000230,PROD-0144,5,3971.05
OI-0000407,ORD-000231,PROD-0025,5,1808.20
OI-0000408,ORD-000232,PROD-0141,1,949.94
OI-0000409,ORD-000232,PROD-0407,2,530.78
OI-0000410,ORD-000232,PROD-0101,3,85.02
OI-0000411,ORD-000232,PROD-0284,1,1136.82
OI-0000412,ORD-000233,PROD-0270,4,3792.52
OI-0000413,ORD-000233,PROD-0205,4,1078.12
OI-0000414,ORD-000234,PROD-0300,2,1222.52
OI-0000415,ORD-000235,PROD-0071,4,1848.56
OI-0000416,ORD-000235,PROD-0070,1,1037.56
OI-0000417,ORD-000236,PROD-0307,2,1241.76
OI-0000418,ORD-000237,PROD-0187,1,1081.95
OI-0000419,ORD-000237,PROD-0088,1,181.09
OI-0000420,ORD-000237,PROD-0451,3,2040.54
OI-0000421,ORD-000238,PROD-0448,3,76.47
OI-0000422,ORD-000239,PROD-0483,5,4991.90
OI-0000423,ORD-000240,PROD-0288,5,4584.60
OI-0000424,ORD-000241,PROD-0481,1,243.76
OI-0000425,ORD-000241,PROD-0311,5,2997.70
OI-0000426,ORD-000242,PROD-0142,3,3098.70
OI-0000427,ORD-000242,PROD-0050,3,258.63
OI-0000428,ORD-000243,PROD-0092,5,2800.70
OI-0000429,ORD-000243,PROD-0389,2,1128.56
OI-0000430,ORD-000244,PROD-0180,4,191.60
OI-0000431,ORD-000245,PROD-0372,5,3670.20
OI-0000432,ORD-000246,PROD-0337,4,2956.96
OI-0000433,ORD-000246,PROD-0053,3,967.23
OI-0000434,ORD-000247,PROD-0137,5,3455.05
OI-0000435,ORD-000247,PROD-0440,1,408.39
OI-0000436,ORD-000247,PROD-0250,4,4140.88
OI-0000437,ORD-000248,PROD-0238,4,3378.92
OI-0000438,ORD-000249,PROD-0237,4,2931.00
OI-0000439,ORD-000249,PROD-0440,2,816.78
OI-0000440,ORD-000250,PROD-0338,3,628.74
OI-0000441,ORD-000250,PROD-0356,5,2378.55
OI-0000442,ORD-000250,PROD-0248,2,918.70
OI-0000443,ORD-000251,PROD-0176,3,372.48
OI-0000444,ORD-000252,PROD-0449,3,3306.21
OI-0000445,ORD-000252,PROD-0240,2,1793.20
OI-0000446,ORD-000253,PROD-0179,5,2295.55
OI-0000447,ORD-000253,PROD-0010,5,5911.70
OI-0000448,ORD-000253,PROD-0403,3,604.86
OI-0000449,ORD-000253,PROD-0249,5,455.65
OI-0000450,ORD-000254,PROD-0080,5,1900.65
OI-0000451,ORD-000255,PROD-0380,3,2302.02
OI-0000452,ORD-000256,PROD-0500,4,2955.44
OI-0000453,ORD-000256,PROD-0325,1,973.56
OI-0000454,ORD-000256,PROD-0131,4,1315.00
OI-0000455,ORD-000257,PROD-0164,5,106.70
OI-0000456,ORD-000258,PROD-0207,1,143.76
OI-0000457,ORD-000258,PROD-0063,4,2131.96
OI-0000458,ORD-000259,PROD-0316,1,807.06
OI-0000459,ORD-000260,PROD-0405,3,488.01
OI-0000460,ORD-000261,PROD-0051,4,2787.24
OI-0000461,ORD-000262,PROD-0473,5,2971.40
OI-0000462,ORD-000262,PROD-0218,4,650.00
OI-0000463,ORD-000263,PROD-0345,3,483.81
OI-0000464,ORD-000264,PROD-0274,5,2275.65
OI-0000465,ORD-000265,PROD-0314,1,514.21
OI-0000466,ORD-000265,PROD-0039,3,2429.01
OI-0000467,ORD-000266,PROD-0117,4,4084.40
OI-0000468,ORD-000266,PROD-0208,2,1612.46
OI-0000469,ORD-000266,PROD-0161,4,3635.80
OI-0000470,ORD-000266,PROD-0365,5,3783.45
OI-0000471,ORD-000267,PROD-0394,1,286.45
OI-0000472,ORD-000268,PROD-0288,2,1833.84
OI-0000473,ORD-000268,PROD-0200,1,1155.66
OI-0000474,ORD-000268,PROD-0263,2,1550.76
OI-0000475,ORD-000269,PROD-0485,3,1531.92
OI-0000476,ORD-000269,PROD-0363,1,756.97
OI-0000477,ORD-000269,PROD-0073,5,1178.95
OI-0000478,ORD-000270,PROD-0490,2,802.52
OI-0000479,ORD-000270,PROD-0408,2,2385.96
OI-0000480,ORD-000271,PROD-0056,5,2232.90
OI-0000481,ORD-000272,PROD-0389,3,1692.84
OI-0000482,ORD-000273,PROD-0352,3,44.31
OI-0000483,ORD-000274,PROD-0392,3,2979.75
OI-0000484,ORD-000274,PROD-0044,2,1160.44
OI-0000485,ORD-000275,PROD-0106,5,5443.90
OI-0000486,ORD-000276,PROD-0400,1,991.60
OI-0000487,ORD-000276,PROD-0275,3,3589.83
OI-0000488,ORD-000277,PROD-0485,1,510.64
OI-0000489,ORD-000278,PROD-0461,1,870.38
OI-0000490,ORD-000278,PROD-0057,2,2361.40
OI-0000491,ORD-000278,PROD-0227,2,2107.72
OI-0000492,ORD-000278,PROD-0278,2,1223.38
OI-0000493,ORD-000279,PROD-0248,1,459.35
OI-0000494,ORD-000280,PROD-0239,4,2727.00
OI-0000495,ORD-000281,PROD-0034,4,1119.96
OI-0000496,ORD-000281,PROD-0095,1,1077.16
OI-0000497,ORD-000282,PROD-0053,5,1612.05
OI-0000498,ORD-000282,PROD-0200,5,5778.30
OI-0000499,ORD-000283,PROD-0132,5,4463.70
OI-0000500,ORD-000283,PROD-0220,4,323.80
OI-0000501,ORD-000284,PROD-0351,2,1192.80
OI-0000502,ORD-000284,PROD-0312,1,512.28
OI-0000503,ORD-000285,PROD-0118,3,1259.73
OI-0000504,ORD-000285,PROD-0067,3,2022.18
