product_id,warehouse_id,stock_quantity,last_updated
PROD-0071,WH-005,218,2025-09-20
PROD-0072,WH-004,487,2025-05-19
PROD-0073,WH-005,377,2024-05-17
PROD-0074,WH-004,301,2025-05-30
PROD-0075,WH-004,192,2024-09-11
PROD-0076,WH-001,244,2024-07-21
PROD-0077,WH-001,38,2025-07-29
PROD-0078,WH-004,308,2024-09-21
PROD-0079,WH-001,673,2025-10-06
PROD-0080,WH-004,125,2025-03-12
PROD-0081,WH-005,293,2023-06-23
PROD-0082,WH-002,656,2023-06-05
PROD-0083,WH-001,356,2023-10-18
PROD-0084,WH-001,77,2024-12-28
PROD-0085,WH-002,84,2025-07-31
PROD-0086,WH-003,223,2023-12-06
PROD-0087,WH-001,420,2024-09-03
PROD-0088,WH-004,988,2024-11-08
PROD-0089,WH-002,397,2023-03-10
PROD-0090,WH-004,561,2023-09-17
PROD-0091,WH-003,345,2023-06-21
PROD-0092,WH-003,179,2025-02-14
PROD-0093,WH-004,757,2023-11-16
PROD-0094,WH-001,2,2023-05-23
PROD-0095,WH-003,289,2024-05-13
PROD-0096,WH-001,956,2024-12-25
PROD-0097,WH-004,597,2024-07-09
PROD-0098,WH-005,721,2024-09-20
PROD-0099,WH-003,533,2024-06-22
PROD-0100,WH-003,436,2024-02-04
PROD-0101,WH-005,289,2024-06-02
PROD-0102,WH-005,972,2024-09-04
PROD-0103,WH-002,59,2023-02-01
PROD-0104,WH-003,108,2024-08-28
PROD-0105,WH-003,443,2024-04-07
PROD-0106,WH-003,961,2024-11-10
PROD-0107,WH-004,213,2024-01-10
PROD-0108,WH-003,796,2024-05-31
PROD-0109,WH-003,907,2023-05-30
PROD-0110,WH-002,459,2024-10-15
PROD-0111,WH-001,466,2023-06-09
PROD-0112,WH-004,413,2023-05-17
PROD-0113,WH-003,414,2024-01-11
PROD-0114,WH-001,265,2024-01-27
PROD-0115,WH-001,487,2023-01-24
PROD-0116,WH-001,84,2023-10-29
PROD-0117,WH-003,113,2025-05-08
PROD-0118,WH-002,5,2025-10-07
PROD-0119,WH-004,521,2024-10-25
PROD-0120,WH-004,881,2023-07-04
PROD-0121,WH-003,41,2025-03-17
PROD-0122,WH-005,455,2025-03-07
PROD-0123,WH-001,897,2023-01-06
PROD-0124,WH-001,991,2024-10-15
PROD-0125,WH-004,418,2024-07-08
PROD-0126,WH-005,60,2024-11-19
PROD-0127,WH-003,995,2025-04-03
PROD-0128,WH-001,497,2023-05-19
PROD-0129,WH-005,144,2023-01-08
PROD-0130,WH-004,417,2023-06-22
PROD-0131,WH-002,513,2025-01-07
PROD-0132,WH-001,124,2023-12-26
PROD-0133,WH-002,143,2023-08-23
PROD-0134,WH-002,565,2023-06-01
PROD-0135,WH-002,179,2024-07-23
PROD-0136,WH-002,290,2023-01-14
PROD-0137,WH-005,284,2024-04-27
PROD-0138,WH-003,887,2023-06-09
PROD-0139,WH-005,197,2024-01-02
PROD-0140,WH-005,605,2024-09-01
PROD-0141,WH-003,32,2023-01-02
PROD-0142,WH-003,94,2023-02-09
PROD-0143,WH-005,274,2024-04-08
PROD-0144,WH-005,821,2023-04-29
PROD-0145,WH-002,381,2025-06-30
PROD-0146,WH-001,721,2023-04-29
PROD-0147,WH-002,355,2024-11-14
PROD-0148,WH-001,845,2025-05-23
PROD-0149,WH-003,198,2023-11-23
PROD-0150,WH-004,949,2023-05-30
PROD-0151,WH-002,784,2024-10-20
PROD-0152,WH-005,606,2023-05-15
PROD-0153,WH-001,810,2025-08-09
PROD-0154,WH-004,296,2023-05-01
PROD-0155,WH-003,979,2024-05-16
PROD-0156,WH-005,41,2024-09-05
PROD-0157,WH-004,536,2023-09-04
PROD-0158,WH-001,130,2025-08-06
PROD-0159,WH-005,17,2025-05-21
PROD-0160,WH-001,24,2025-07-05
PROD-0161,WH-003,104,2024-09-28
PROD-0162,WH-003,931,2025-06-06
PROD-0163,WH-003,248,2023-11-05
PROD-0164,WH-001,627,2023-12-07
PROD-0165,WH-002,805,2025-02-19
PROD-0166,WH-005,779,2025-07-17
PROD-0167,WH-001,952,2024-11-02
PROD-0168,WH-003,294,2024-04-25
PROD-0169,WH-005,419,2025-03-30
PROD-0170,WH-004,294,2025-01-20
PROD-0171,WH-002,563,2023-02-07
PROD-0172,WH-002,87,2024-10-18
PROD-0173,WH-005,690,2024-07-22
PROD-0174,WH-005,228,2023-01-24
PROD-0175,WH-004,227,2025-02-13
PROD-0176,WH-003,509,2025-10-01
PROD-0177,WH-005,657,2024-12-28
PROD-0178,WH-001,689,2023-08-21
PROD-0179,WH-004,571,2024-08-22
PROD-0180,WH-001,683,2023-05-30
PROD-0181,WH-001,227,2025-04-23
PROD-0182,WH-005,742,2025-07-15
PROD-0183,WH-004,256,2025-08-11
PROD-0184,WH-002,841,2025-01-07
PROD-0185,WH-004,610,2024-08-12
PROD-0186,WH-001,326,2025-04-13
PROD-0187,WH-003,565,2023-11-27
PROD-0188,WH-003,936,2024-05-19
PROD-0189,WH-003,606,2024-08-08
PROD-0190,WH-003,714,2025-02-25
PROD-0191,WH-001,557,2025-02-16
PROD-0192,WH-003,191,2024-08-12
PROD-0193,WH-001,854,2024-03-05
PROD-0194,WH-005,987,2024-03-16
PROD-0195,WH-005,652,2023-02-20
PROD-0196,WH-003,367,2025-07-04
PROD-0197,WH-002,532,2024-09-14
PROD-0198,WH-005,439,2023-01-16
PROD-0199,WH-004,68,2025-01-15
PROD-0200,WH-001,397,2023-12-06
PROD-0201,WH-004,470,2023-09-04
PROD-0202,WH-002,463,2025-02-13
PROD-0203,WH-003,380,2024-03-30
PROD-0204,WH-001,84,2024-02-13
PROD-0205,WH-003,147,2024-03-30
PROD-0206,WH-004,95,2025-08-06
PROD-0207,WH-002,428,2024-11-10
PROD-0208,WH-005,70,2023-11-03
PROD-0209,WH-005,920,2024-07-19
PROD-0210,WH-001,143,2024-01-02
PROD-0211,WH-002,650,2023-01-21
PROD-0212,WH-005,287,2023-07-19
PROD-0213,WH-004,740,2024-02-13
PROD-0214,WH-005,628,2023-06-14
PROD-0215,WH-005,869,2024-02-12
PROD-0216,WH-003,275,2023-11-05
PROD-0217,WH-004,792,2025-05-07
PROD-0218,WH-004,880,2025-07-20
PROD-0219,WH-002,330,2025-04-01
PROD-0220,WH-001,544,2023-10-16
PROD-0221,WH-002,246,2025-01-31
PROD-0222,WH-002,922,2023-09-14
PROD-0223,WH-002,217,2023-11-05
PROD-0224,WH-005,4,2025-02-24
PROD-0225,WH-001,280,2023-03-23
PROD-0226,WH-004,726,2023-05-10
PROD-0227,WH-003,113,2025-01-07
PROD-0228,WH-003,350,2023-09-10
PROD-0229,WH-004,614,2023-04-21
PROD-0230,WH-003,547,2023-12-13
PROD-0231,WH-003,469,2023-10-16
PROD-0232,WH-005,950,2023-01-30
PROD-0233,WH-004,178,2025-05-04
PROD-0234,WH-004,576,2025-04-08
PROD-0235,WH-004,15,2023-06-16
PROD-0236,WH-003,168,2024-01-13
PROD-0237,WH-004,62,2023-09-02
PROD-0238,WH-002,226,2024-11-03
PROD-0239,WH-002,635,2025-03-24
PROD-0240,WH-003,691,2024-09-06
PROD-0241,WH-003,367,2023-07-05
PROD-0242,WH-002,868,2023-03-26
PROD-0243,WH-003,655,2024-07-04
PROD-0244,WH-002,537,2024-02-01
PROD-0245,WH-002,47,2023-10-14
PROD-0246,WH-001,933,2025-04-28
PROD-0247,WH-002,619,2024-03-21
PROD-0248,WH-004,188,2025-07-15
PROD-0249,WH-005,614,2023-04-03
PROD-0250,WH-004,161,2023-04-12
PROD-0251,WH-004,302,2025-09-01
PROD-0252,WH-002,614,2023-05-23
PROD-0253,WH-002,27,2023-11-06
PROD-0254,WH-001,417,2024-04-20
PROD-0255,WH-005,949,2025-02-26
PROD-0256,WH-002,926,2023-05-03
PROD-0257,WH-003,700,2023-09-04
PROD-0258,WH-005,180,2025-07-10
PROD-0259,WH-004,391,2024-09-10
PROD-0260,WH-002,486,2025-05-29
PROD-0261,WH-001,405,2023-08-15
PROD-0262,WH-002,839,2023-12-30
PROD-0263,WH-001,994,2023-08-09
PROD-0264,WH-001,859,2023-08-25
PROD-0265,WH-005,160,2024-05-27
PROD-0266,WH-001,309,2024-06-28
PROD-0267,WH-003,7,2023-07-09
PROD-0268,WH-002,46,2024-03-04
PROD-0269,WH-001,687,2024-08-22
PROD-0270,WH-001,108,2024-08-13
PROD-0271,WH-002,658,2023-09-07
PROD-0272,WH-002,382,2024-09-25
PROD-0273,WH-002,501,2024-09-10
PROD-0274,WH-004,86,2024-09-10
PROD-0275,WH-001,2,2023-03-01
PROD-0276,WH-001,188,2024-12-26
PROD-0277,WH-005,663,2023-12-16
PROD-0278,WH-004,101,2024-01-21
PROD-0279,WH-002,188,2025-05-11
PROD-0280,WH-003,385,2025-01-02
PROD-0281,WH-003,716,2024-05-19
PROD-0282,WH-001,526,2025-01-27
PROD-0283,WH-003,362,2025-09-20
PROD-0284,WH-005,316,2023-01-03
PROD-0285,WH-004,593,2024-09-28
PROD-0286,WH-002,232,2023-01-01
PROD-0287,WH-003,812,2025-03-09
PROD-0288,WH-003,744,2025-04-03
PROD-0289,WH-002,139,2025-01-30
PROD-0290,WH-002,84,2025-09-12
PROD-0291,WH-004,666,2024-10-04
PROD-0292,WH-004,476,2025-07-27
PROD-0293,WH-005,786,2023-03-19
PROD-0294,WH-003,339,2024-01-21
PROD-0295,WH-003,451,2025-01-21
PROD-0296,WH-003,857,2023-09-08
PROD-0297,WH-004,13,2025-03-12
PROD-0298,WH-001,629,2023-10-30
PROD-0299,WH-003,200,2024-11-24
PROD-0300,WH-005,716,2025-07-23
PROD-0301,WH-001,942,2023-03-24
PROD-0302,WH-004,997,2024-05-25
PROD-0303,WH-004,992,2024-03-06
PROD-0304,WH-004,348,2023-03-01
PROD-0305,WH-003,181,2024-11-05
PROD-0306,WH-004,663,2025-07-06
PROD-0307,WH-004,68,2023-05-09
PROD-0308,WH-001,802,2024-08-12
PROD-0309,WH-002,567,2023-03-30
PROD-0310,WH-003,488,2024-07-14
PROD-0311,WH-001,416,2024-11-09
PROD-0312,WH-001,816,2025-01-08
PROD-0313,WH-005,61,2023-06-09
PROD-0314,WH-002,251,2023-03-12
PROD-0315,WH-001,400,2024-05-04
PROD-0316,WH-005,696,2025-08-07
PROD-0317,WH-004,24,2024-01-31
PROD-0318,WH-004,647,2024-03-13
PROD-0319,WH-002,343,2023-09-09
PROD-0320,WH-002,154,2023-07-23
PROD-0321,WH-004,126,2024-07-06
PROD-0322,WH-003,599,2023-06-09
PROD-0323,WH-001,889,2023-05-22
PROD-0324,WH-004,838,2024-10-13
PROD-0325,WH-005,737,2023-10-19
PROD-0326,WH-005,376,2024-02-29
PROD-0327,WH-002,933,2024-05-24
PROD-0328,WH-001,85,2023-10-20
PROD-0329,WH-002,620,2023-11-16
PROD-0330,WH-002,22,2023-02-11
PROD-0331,WH-001,961,2025-02-03
PROD-0332,WH-002,464,2025-04-30
PROD-0333,WH-003,791,2025-07-19
PROD-0334,WH-002,583,2025-02-09
PROD-0335,WH-005,578,2025-07-18
PROD-0336,WH-002,894,2023-09-07
PROD-0337,WH-001,212,2023-05-27
PROD-0338,WH-003,447,2023-12-19
PROD-0339,WH-005,674,2024-10-03
PROD-0340,WH-005,871,2024-01-25
PROD-0341,WH-004,627,2023-08-02
PROD-0342,WH-002,994,2024-05-05
PROD-0343,WH-005,730,2023-09-22
PROD-0344,WH-001,502,2024-11-05
PROD-0345,WH-005,206,2025-03-31
PROD-0346,WH-004,422,2023-12-17
PROD-0347,WH-005,73,2025-06-22
PROD-0348,WH-003,917,2023-08-04
PROD-0349,WH-005,142,2023-02-12
PROD-0350,WH-001,100,2025-03-08
PROD-0351,WH-003,683,2025-06-10
PROD-0352,WH-001,834,2024-02-02
PROD-0353,WH-003,167,2024-12-18
PROD-0354,WH-004,402,2023-10-27
PROD-0355,WH-002,441,2024-03-31
PROD-0356,WH-002,892,2025-06-27
PROD-0357,WH-003,65,2025-04-04
PROD-0358,WH-002,499,2023-07-07
PROD-0359,WH-003,323,2025-08-23
PROD-0360,WH-003,225,2025-09-12
PROD-0361,WH-002,500,2025-08-30
PROD-0362,WH-003,688,2024-02-06
PROD-0363,WH-003,952,2025-02-08
PROD-0364,WH-004,628,2024-04-25
PROD-0365,WH-004,266,2024-06-25
PROD-0366,WH-004,523,2023-10-28
PROD-0367,WH-005,436,2023-06-13
PROD-0368,WH-002,285,2025-04-13
PROD-0369,WH-005,294,2024-12-26
PROD-0370,WH-003,850,2023-05-04
PROD-0371,WH-001,314,2024-02-21
PROD-0372,WH-002,322,2023-01-06
PROD-0373,WH-004,592,2023-05-13
PROD-0374,WH-005,428,2023-12-01
PROD-0375,WH-004,546,2025-08-09
PROD-0376,WH-003,879,2023-04-23
PROD-0377,WH-002,838,2024-11-19
PROD-0378,WH-001,887,2024-03-07
PROD-0379,WH-002,768,2024-04-03
PROD-0380,WH-004,728,2024-05-19
PROD-0381,WH-002,611,2025-08-25
PROD-0382,WH-002,757,2023-11-24
PROD-0383,WH-001,628,2024-03-27
PROD-0384,WH-005,796,2023-08-09
PROD-0385,WH-003,701,2025-06-17
PROD-0386,WH-003,887,2023-05-22
PROD-0387,WH-001,134,2024-08-12
PROD-0388,WH-001,308,2024-03-23
PROD-0389,WH-003,922,2023-01-05
PROD-0390,WH-002,150,2025-03-17
PROD-0391,WH-002,299,2025-07-03
PROD-0392,WH-004,472,2024-07-17
PROD-0393,WH-001,293,2025-07-21
PROD-0394,WH-003,995,2024-05-19
PROD-0395,WH-005,474,2025-05-28
PROD-0396,WH-002,382,2023-04-30
PROD-0397,WH-005,298,2024-12-15
PROD-0398,WH-001,469,2023-01-25
PROD-0399,WH-002,235,2024-10-27
PROD-0400,WH-005,542,2023-05-18
PROD-0401,WH-001,299,2024-04-08
PROD-0402,WH-005,696,2025-05-11
PROD-0403,WH-002,792,2023-09-06
PROD-0404,WH-002,455,2024-10-22
PROD-0405,WH-002,710,2023-02-27
PROD-0406,WH-005,715,2024-12-21
PROD-0407,WH-003,324,2023-03-07
PROD-0408,WH-004,499,2024-02-14
PROD-0409,WH-004,12,2024-02-09
PROD-0410,WH-002,416,2024-10-07
PROD-0411,WH-002,687,2023-05-24
PROD-0412,WH-005,436,2023-07-25
PROD-0413,WH-001,115,2023-03-10
PROD-0414,WH-002,904,2025-03-23
PROD-0415,WH-002,27,2025-04-21
PROD-0416,WH-001,912,2025-06-28
PROD-0417,WH-005,299,2024-05-30
PROD-0418,WH-003,129,2024-02-02
PROD-0419,WH-003,791,2025-09-14
PROD-0420,WH-005,208,2023-07-29
PROD-0421,WH-002,433,2025-05-19
PROD-0422,WH-004,691,2024-08-13
PROD-0423,WH-004,23,2025-08-27
PROD-0424,WH-005,170,2025-08-19
PROD-0425,WH-005,619,2024-02-20
PROD-0426,WH-004,741,2025-01-27
PROD-0427,WH-001,714,2023-07-31
PROD-0428,WH-004,8,2025-05-22
PROD-0429,WH-003,655,2024-11-24
PROD-0430,WH-003,621,2025-07-28
PROD-0431,WH-003,912,2024-03-21
PROD-0432,WH-005,136,2023-01-25
PROD-0433,WH-005,379,2025-07-28
PROD-0434,WH-004,286,2024-08-04
PROD-0435,WH-001,116,2025-06-06
PROD-0436,WH-002,149,2023-09-25
PROD-0437,WH-005,378,2025-02-20
PROD-0438,WH-001,929,2024-07-31
PROD-0439,WH-002,383,2023-02-21
PROD-0440,WH-001,79,2023-04-21
PROD-0441,WH-003,298,2024-02-05
PROD-0442,WH-001,486,2023-12-20
PROD-0443,WH-005,732,2024-12-08
PROD-0444,WH-001,553,2025-06-17
PROD-0445,WH-001,221,2025-09-01
PROD-0446,WH-005,751,2024-06-05
PROD-0447,WH-005,654,2025-02-14
PROD-0448,WH-001,292,2023-09-19
PROD-0449,WH-001,62,2023-10-16
PROD-0450,WH-001,278,2023-09-05
PROD-0451,WH-001,356,2024-02-20
PROD-0452,WH-004,915,2024-06-05
PROD-0453,WH-003,77,2024-12-04
PROD-0454,WH-002,853,2023-12-05
PROD-0455,WH-002,534,2024-10-11
PROD-0456,WH-001,281,2024-06-11
PROD-0457,WH-002,488,2023-11-14
PROD-0458,WH-004,327,2023-12-27
PROD-0459,WH-005,51,2023-07-21
PROD-0460,WH-001,639,2024-10-16
PROD-0461,WH-001,105,2025-08-02
PROD-0462,WH-004,528,2025-08-11
PROD-0463,WH-003,390,2023-10-16
PROD-0464,WH-004,112,2024-05-13
PROD-0465,WH-004,562,2023-09-26
PROD-0466,WH-001,93,2025-09-12
PROD-0467,WH-005,38,2023-06-08
PROD-0468,WH-004,809,2025-07-22
PROD-0469,WH-001,414,2025-07-07
PROD-0470,WH-005,539,2024-12-11
PROD-0471,WH-005,661,2024-12-21
PROD-0472,WH-002,495,2024-12-19
PROD-0473,WH-001,446,2023-04-06
PROD-0474,WH-001,374,2024-06-12
PROD-0475,WH-004,434,2025-10-01
PROD-0476,WH-005,432,2023-04-26
PROD-0477,WH-001,582,2024-08-07
PROD-0478,WH-004,846,2025-05-01
PROD-0479,WH-004,449,2023-12-31
PROD-0480,WH-005,753,2024-12-30
PROD-0481,WH-005,206,2024-11-10
PROD-0482,WH-002,163,2024-02-28
PROD-0483,WH-001,487,2025-06-09
PROD-0484,WH-001,736,2023-11-25
PROD-0485,WH-001,340,2025-09-19
PROD-0486,WH-005,212,2024-01-19
PROD-0487,WH-002,261,2024-01-01
PROD-0488,WH-005,68,2024-08-25
PROD-0489,WH-003,432,2023-12-02
PROD-0490,WH-004,722,2023-06-03
PROD-0491,WH-005,378,2023-09-10
PROD-0492,WH-003,974,2023-09-03
PROD-0493,WH-002,592,2024-11-02
PROD-0494,WH-005,788,2025-02-18
PROD-0495,WH-005,167,2023-10-17
PROD-0496,WH-002,397,2024-02-14
PROD-0497,WH-002,96,2024-04-24
PROD-0498,WH-004,343,2024-07-26
PROD-0499,WH-001,68,2024-11-28
PROD-0500,WH-003,552,2025-04-13
